City,Figure,Per Capita,Date,Source,Notes
Amsterdam,38,,2014,Dutch Federation for Cinematography,
Beijing,150,,2013,http://www.bjstats.gov.cn/nj/main/2014-en/content/mV326_1829.htm,
Berlin,94,,2011,Filmf�_rderungsanstalt,
Bogot͍,46,,2012,Ministerio de Cultura de Colombia - SIREC,
Boston,19,,2016,http://cinematreasures.org/theaters/united-states/massachusetts/boston,
Brussels,11,,2015,Dpt Culture City of Brussels,
Buenos Aires,76,,2013,SINCA,
Copenhagen,15,,2016,,
Dublin,8,,2016,Cinematreasures.org,
Edinburgh,9,,2015,The City of Edinburgh Council,
Hong Kong,47,,2014,Hong Kong Film Development Council (HKFDC),
Istanbul,99,,2015,Online resources,
Johannesburg,47,,2012,NFVF/VANSA,
Kuala Lumpur,24,,2016,Wikipedia,
London,158,,2013,BFI Statistical Yearbook 2014,
Los Angeles,133,,2013,Cinematreasures.org/Mrmovietimes,
Madrid,43,,2013,Ayuntamiento de Madrid (Ministerio de Cultura. Instituto de la Cinematograf�_a y de las Artes Audiovisuales (ICAA)),
Melbourne,54,,2015,Motion Picture Distributors Association of Australia,
Montrͩal,20,,2012,Observatoire de la Culture et des communications du Quͩbec,
Moscow,112,,2014,Unified federal automated information system of film screening,
Mumbai,105,,2012,Tata Institute of Social Sciences,
New York,95,,2015,Cinematreasures.org,
Osaka,21,,,,
Paris,310,,2013,CNC,
Philadelphia,19,,2016,Cinematreasures.org,
Rio de Janeiro,42,,2012,Ancine,
San Francisco,25,,2015,"MrMovieTimes.com, CinemaTreasures.org",
Sͣo Paulo,46,,2012,Ancine,
Seattle,27,,2016,movies.com,
Seoul,88,,2015,Korean Film Council,
Shanghai,230,,2015,"Shanghai Municipal Administration of Culture, Radio, Film & TV",
Shenzhen,112,,2014,Culture Sports and Tourism Administration of Shenzhen Municipality,
Singapore,30,,2014,Wikipedia - List of cinemas in Singapore,
Stockholm,21,,2013,The Swedish Film Institute,
Sydney,57,,2015,Sydney Arts Guide + The Fix,
Taipei,36,,2014,Ministry of Culture,
Tokyo,82,,2010,"Industrial Statistics Office, Research and Statistics Department, Economic and Industrial Policy Bureau, Ministry of Economy, Trade and Industry.",
Toronto,46,,2015,"BOP Research: Tribune.ca, Cinemaclock",
Vienna,27,,2013,Filmwirtschaftsbericht,
Warsaw,27,,2014,Central Statistical Office of Poland,
