"City","Country","Art_exhibitions_visits","Cinema_Screens","Cinemas","Creative_Industries_Employment","Educated","Foreign_born","GDP","Area","Concert_Halls","Median Weekly Earnings","Number_of_bars","Number_of_comedy","Number_of_tourists","Number_of_restaurants","Length.per.resident..mm.","Usage","Annual.ridership","Country.Subdivision","Starbucks","iso_region","total_runways"
"Amsterdam","Netherlands",5864,113,38,0.092,0.42,0.34,43491,2580,5,836,1516,5,10500000,1337,31.7,0.11,85,"NH",9,"NL-NH",6
"Berlin","Germany",1653,266,94,0.1,0.39,0.13,80000,892,2,NA,1247,15,2871000,4885,43.2,0.2,505,"BE",1,"DE-BE",4
"Brussels","Belgium",NA,65,11,0.0647,NA,0.46,83414,161,4,NA,1743,NA,2602094,4235,18.5,0.11,133,"VLG",1,"BE-WHT",4
"Hong Kong","Hong Kong S.A.R.",3061,209,47,0.056,0.29,NA,381186,1104,4,538,1200,NA,60838836,12564,24.7,0.27,1444,"91",58,"HK-U-A",2
"Istanbul","Turkey",2179,704,99,0.016,0.17,NA,394000,5461,NA,144,304,1,11842983,1122,8.9,0.01,78,"34",81,"TR-34",4
"London","United Kingdom",5064,860,158,0.162,0.6,0.36,492584,1572,10,1022.98,2694,18,16800000,24360,46.9,0.19,1171,"ENG",179,"GB-ENG",6
"Los Angeles","USA",2987,1073,133,0.0542,0.297,0.35,826826,10510,6,559.91,3248,32,6500000,36571,4.7,0.01,46,"CA",90,"US-CA",4
"Madrid","Spain",2999,244,43,0.09,0.319,0.2,175504,604,4,NA,5877,9,3688258,6334,52.6,0.16,635,"MD",39,"ES-M",4
"Montreal","Canada",1794,192,20,0.133,0.352,0.33,88493,624,7,384,1287,NA,1770939,2283,18.8,0.08,219,"QC",33,"CA-QC",3
"Moscow","Russia",17645,585,112,NA,0.43,0.13,382700,2511,4,387,581,NA,5200000,3159,31.9,0.31,2389,"MOW",52,"RU-MOS",7
"Mumbai","India",NA,232,105,0.1601,NA,0.01,209000,437,2,NA,543,1,2195000,13205,9,NA,100,"MH",8,"IN-MM",2
"New York","USA",5918,374,95,0.086,0.345,0.37,1406000,1214,16,1005,2657,24,11805400,23520,19.5,0.12,1655,"NY",187,"US-NY",6
"Paris","France",6124,1054,310,0.09,0.381,0.22,730819,12012,15,500,3263,50,15500000,38393,22.2,0.21,1524,"J",51,"FR-J",7
"Rio de Janeiro","Brazil",5283,189,42,0.0275,0.145,0.01,194900,1200,NA,133.5,12072,0,1400000,6576,3.6,0.03,212,"RJ",11,"BR-RJ",2
"Rome","Italy",NA,203,NA,NA,NA,NA,163005,5363,NA,NA,NA,NA,NA,14495,18.3,0.14,331,NA,0,"IT-62",4
"San Francisco","USA",2098,83,25,0.0611,0.524,0.36,388272,121,4,932.42,377,11,3044000,3973,48.4,0.04,111,"CA",77,"US-CA",4
"Sao Paulo","Brazil",3182,293,46,0.0246,0.19,0.01,370000,1500,4,136,15000,2,1600000,12500,4.2,0.06,877,"SP",28,"BR-SP",4
"Seoul","South Korea",NA,504,88,0.12,0.348,0.04,335493,605,4,NA,18829,8,11446422,81477,33.3,0.35,2518,"11",221,"KR-28",5
"Shanghai","China",NA,765,230,NA,0.429,0,667449,6340,4,228.07,2693,NA,7913000,NA,39.2,0.21,2276,"31",198,"CN-31",6
"Shenzhen","China",160,527,112,0.0276,0.411,NA,453335,1997,8,119.47,1434,2,1661200,84257,30.4,0.02,132,"44",52,"CN-44",1
"Singapore","Singapore",NA,207,30,0.018,0.273,0.29,425155,718,4,838.19,659,1,15567900,2426,37.7,0.25,794,"5",68,"SG-04",3
"Stockholm","Sweden",NA,136,21,0.06,0.47,0.3,63641,6526,5,630.81,414,20,2e+06,2000,83.9,0.34,309,"AB",2,"SE-AB",3
"Sydney","Australia",NA,367,57,0.046,0.349,0.4,232012,12145,4,443.27,791,4,3100000,19384,5.1,NA,NA,NA,0,"AU-NSW",3
"Taipei","Taiwan",2932,183,36,NA,NA,NA,283990.3,272,4,711.75,234,0,7038496,7061,50.5,0.34,652,"TPE",93,"TW-TAO",2
"Tokyo","Japan",6258,334,82,0.112,0.255,0.02,743826,2130,15,1069.54,14184,NA,5940000,150510,8.5,0.12,3102,"13",1,"JP-12",6
"Toronto","Canada",8969,297,46,0.06,0.69,0.49,125670,630,6,503,957,17,1518215,7961,13.7,0.07,278,"ON",133,"CA-ON",5
"Vienna","Austria",20785,144,27,NA,0.23,0.32,92358,415,7,NA,NA,10,4564276,NA,34.1,0.32,534,"9",11,"AT-9",2
"Warsaw","Poland",3344,139,27,0.016,0.253,NA,62135.56,517,4,NA,NA,NA,2700000,NA,16.8,0.11,140,"MZ",12,"PL-MZ",3
