"City","Country","Art_exhibitions_visits","Cinema_Screens","Cinemas","Creative_Industries_Employment","Educated","Foreign_born","GDP","Area","Concert_Halls","Median Weekly Earnings","Number_of_bars","Number_of_comedy","Number_of_tourists","Number_of_restaurants","Public_libraries","Length.per.resident..mm.","Usage","Annual.ridership","Country.Subdivision","Starbucks","iso_region","total_runways","Total.City.wide.Emissions..metric.tonnes.CO2e."
"Amsterdam","Netherlands",5864,113,38,0.092,0.42,0.34,43491,2580,5,836,1516,5,10500000,1337,80,31.7,0.11,85,"NH",9,"NL-NH",6,5094000
"Bangkok","Thailand",NA,330,NA,NA,NA,0.05,NA,NA,4,93.71,NA,NA,15980000,NA,NA,12.9,0.05,245,"10",108,"TH-10",4,NA
"Beijing","China",NA,820,150,0.2177,0.195,0,NA,NA,2,205.62,1684,1,3576000,30000,25,49.9,0.3,2460,"11",104,"CN-11",4,NA
"Berlin","Germany",1653,266,94,0.1,0.39,0.13,80000,892,2,NA,1247,15,2871000,4885,88,43.2,0.2,505,"BE",1,"DE-BR",4,21299000
"Bogota","Colombia",NA,243,46,NA,0.205,0,82175,345,3,170.23,NA,0,966748,6158,89,0,0,0,NA,0,"CO-CUN",2,16077576.18
"Boston","USA",NA,52,19,NA,0.485,0.2704988,NA,NA,NA,974.69,675,6,1400000,NA,NA,13.5,0.05,147,"MA",45,"US-MA",6,6766714
"Brussels","Belgium",NA,65,11,0.0647,NA,0.46,83414,161,4,NA,1743,NA,2602094,4235,118,18.5,0.11,133,"VLG",1,"BE-WHT",4,NA
"Copenhagen","Denmark",NA,54,15,NA,0.2827,0.18,NA,NA,NA,895.98,NA,NA,6160000,NA,NA,19.4,0.07,54,"84",1,"DK-84",3,1958886
"Dublin","Ireland",NA,51,8,NA,NA,0.2,NA,NA,NA,894,NA,2,4100000,NA,26,0,0,0,"L",22,"IE-D",3,NA
"Edinburgh","United Kingdom",926,62,9,0.042,0.563,0.14,26612,263,1,626.56,451,2,1300000,138,298,0,0,0,"SCT",14,"GB-SCT",3,NA
