City Name,Country,Rank
London,UK,Alpha ++
New York,USA,Alpha ++
Hong Kong,China,Alpha +
Paris,France,Alpha +
Singapore,Singapore,Alpha +
Tokyo,Japan,Alpha +
Shanghai,China,Alpha +
Dubai,UAE,Alpha +
Sydney,Australia,Alpha +
Beijing,China,Alpha +
Milan,Italy,Alpha
Toronto,Canada,Alpha
Sao Paulo,Brazil,Alpha
Madrid,Spain,Alpha
Chicago,USA,Alpha
Mumbai,India,Alpha
Los Angeles,USA,Alpha
Moscow,Russie,Alpha
Frankfurt,Germany,Alpha
Mexico City,Mexico,Alpha
Amsterdam,Netherlands,Alpha
Kuala Lumpur,Malaysia,Alpha
Brussels,Belgium,Alpha
Miami,USA,Alpha -
Seoul,South Korea,Alpha -
Dublin,Ireland,Alpha -
Jakarta,Indonesia,Alpha -
Melbourne,Australia,Alpha -
Buenos Aires,Argentina,Alpha -
Zurich,Switzerland,Alpha -
New Delhi,India,Alpha -
Munich,Germany,Alpha -
Boston,USA,Alpha -
Warsaw,Poland,Alpha -
Vienna,Austria,Alpha -
Atlanta,USA,Alpha -
Barcelona,Spain,Alpha -
Bangkok,Thailand,Alpha -
Istanbul,Turkey,Alpha -
Taipei,Taiwan,Alpha -
Johannesberg,South Africa,Alpha -
"Washington, D.C.",USA,Alpha -
San Francisco,USA,Alpha -
Stockholm,Sweden,Alpha -
Prague,Czech Republic,Alpha -
DŸsseldorf,Germany,Beta+
Dallas,USA,Beta+
Montreal,Canada,Beta+
Rome,Italy,Beta+
Hamburg,Germany,Beta+
Manila,Philippines,Beta+
Houston,USA,Beta+
Berlin,Germany,Beta+
Athens,Greece,Beta+
Tel Aviv,Israel,Beta+
Bangalore,India,Beta+
Copenhagen,Denmark,Beta+
Ca•ro,Egypt,Beta+
Budapest,Hungary,Beta+
Bucharest,Romania,Beta+
Guangzhou,China,Beta+
Lima,Peru,Beta+
Cape Town,South Africa,Beta+
Kiev,Ukraine,Beta+
Luxembourg,Luxembourg,Beta+
Santiago,Chile,Beta+
Lisbon,Portugal,Beta+
Philadelphia,USA,Beta+
Beirut,Lebanon,Beta+
Caracas,Venezuela,Beta
Bogota,Colombia,Beta
Ho Chi Minh City,Vietnam,Beta
Auckland,New Zealand,Beta
Oslo,Norway,Beta
Chennai,India,Beta
Manchester,UK,Beta
Karachi,Pakistan,Beta
Riyadh,Saudi Arabia,Beta
Montevideo,Uruguay,Beta
Vancouver,Canada,Beta
Brisbane,Australia,Beta
Helsinki,Finland,Beta
Doha,Qatar,Beta
Casablanca,Morocco,Beta
Stuttgart,Germany,Beta
Rio de Janeiro,Brazil,Beta
Geneva,Switzerland,Beta
Abu Dhabi,UAE,Beta-
Nicosia,Cyprus,Beta-
Lyon,France,Beta-
Birmingham (UK),UK,Beta-
San Jose (CR),Costa Rica,Beta-
Minneapolis,USA,Beta-
Tunis,Tunisia,Beta-
Nairobi,Kenya,Beta-
Calcutta,India,Beta-
Detroit,USA,Beta-
Hanoi,Vietnam,Beta-
Denver,USA,Beta-
Monterrey,Mexico,Beta-
Bratislava,Slovakia,Beta-
Riga,Latvia,Beta-
Seattle,USA,Beta-
Port Louis,Mauritius,Beta-
Manama,Bahrain,Beta-
Sofia,Bulgaria,Beta-
Amman,Jordan,Beta-
Antwerp,Belgium,Beta-
Panama City,Panama,Beta-
San Diego,United States,Beta-
Quito,Ecaudor,Beta-
Rotterdam,Netherlands,Beta-
Belgrade,Serbia,Beta-
Almaty,Kazakhstan,Beta-
Lagos,Nigeria,Beta-
Perth,Australia,Beta-
Shenzhen,China,Beta-
Hyderabad,India,Beta-
Kuwait City,Kuwait,Beta-
Edinburgh,UK,Beta-
Cleveland,USA,Beta-
Calgary,Canada,Beta-
Guatemala City,Guatemala,Beta-
Bristol,,Gamma+
St. Petersburg,,Gamma+
Charlotte,,Gamma+
Lahore,,Gamma+
Baltimore,USA,Gamma+
Jeddah,Saudi Arabia,Gamma+
Zagreb,Croatia,Gamma+
Adelaide,Australia,Gamma+
Durban,,Gamma+
Santo Domingo,Dominican Republic,Gamma+
San Salvador,,Gamma+
 StÊLouis,,Gamma+
ÊIslamabad,,Gamma+
ÊGuayaquil,,Gamma+
Cologne,,Gamma+
Phoenix,,Gamma+
Georgetown (CI),,Gamma+
Osaka,,Gamma+
Tampa,,Gamma+
Valencia (SP),,Gamma
Glasgow,,Gamma
San Jose (US),,Gamma
San Juan,,Gamma
Marseille,,Gamma
Cincinnatti,,Gamma
Guadalajara,,Gamma
Leeds,,Gamma
Baku,,Gamma
Tallinn,,Gamma
Vilnius,,Gamma
Colombo,,Gamma
Raleigh,,Gamma
Ankara,,Gamma
Belfast,,Gamma
Milwaukee,,Gamma
Muscat,,Gamma
ÊLjubljana,,Gamma
Nantes,,Gamma-
 Tianjin,,Gamma-
 Accra,,Gamma-
 Algiers,,Gamma-
 Gothenburg,,Gamma-
 Porto,,Gamma-
 Columbus,,Gamma-
 Utrecht,,Gamma-
 Orlando,,Gamma-
 Ahmedabad,,Gamma-
 Asuncion,,Gamma-
 Kansas City,,Gamma-
 Seville,,Gamma-
 Turin,,Gamma-
 Dar Es Salaam,,Gamma-
 Portland,,Gamma-
ÊKrakow,,Gamma-
 Managua,,Gamma-
 Pune,,Gamma-
 Leipzig,,Gamma-
 Malm_,,Gamma-
 La Paz,,Gamma-
