City,Figure,Per Capita,Date,Source,Notes
Amsterdam,64,,2013,Trade Association for Horeca and Catering,
Berlin,36,,2008,Amt für Statistik Berlin-Brandenburg,
Brussels,148,,2013,FOD Economie ADSEI,
Buenos Aires,126,,2013,"AHRCC (Ascociación de Hoteles, Restaurantes, Confiterías y Cafés de la Ciudad)",
Edinburgh,92,,2015,City of Edinburgh Council licencsed premises database,
Hong Kong,17,,2013,Industry Statistics,
Istanbul,2,,2015,Istanbul Chamber of Commerce and Turkish Statistical Institute,
London,32,,2015,Yell,
Los Angeles,32,,2013,Citysearch; Yelp / US Census,
Madrid,186,,2014,Dirección General de Estadística. Ayuntamiento de Madrid,
Melbourne,16,,2015,Victorian Commission for Gambling and Liquor Regulation,
Montréal,68,,2013,"Régie des alcools, des courses et des jeux du Québec",
Moscow,5,,2014,Yellow Pages,
Mumbai,4,,2012,Yellow Pages,
New York,33,,2013,U.S Census Bureau,
Paris,27,,2015,Pages Jaunes / Insee,
Rio de Janeiro,191,,2012,"SindRio, Sindicato de Hotéis, Bares e Restaurantes",
San Francisco,47,,2012,San Francisco Department of Public Health/US Census,
São Paulo,133,,2012,"SinHoRes, Sindicato de Hotéis, Restaurantes, Bares e Similares de São Paulo",
Seoul,186,,2013,Statistics Korea,
Shanghai,11,,2015,Dianping.com,
Shenzhen,13,,2014,Dianping.com,
Singapore,12,,2014,Eguide Singapore Business Directory - Bars and Pubs,
Stockholm,19,,2013,118100.se,
Sydney,16,,2015,Office of Liquor Gaming and Racing,
Taipei,9,,2015,Ministry of Finance,
Tokyo,108,,2012,Kakaku.com. Inc.,
Toronto,36.6,,2013,TO Bars,
