City,Figure,Per Capita,Date,Source,Notes
Amsterdam,"1,337",,2013,Trade Association for Horeca and Catering,
Austin,"2,061",,2015,Restaurant Guide,
Beijing,"30,000",,,http://zhidao.baidu.com/question/1690006037550481028.html,
Bangkok,"101,660",,,http://chasingaplate.com/bangkok-street-food/,
Berlin,"4,885",,2008,Amt fÍ_r Statistik Berlin-Brandenburg,
BogotÍç,"6,158",,2013,CÍçmara de Comercio de BogotÍç,
Boston,"6,169",,2016,Yelp,
Brussels,"4,235",,2013,FOD Economie ADSEI,
Buenos Aires,"2,823",,2013,"AHRCC (AscociaciÍ_n de Hoteles, Restaurantes, ConfiterÍ_as y CafÍ©s de la Ciudad)",
Edinburgh,138,,2015,Visit Scotland,The site claims that Edinburgh has more restaurants per head than any other UK city
Hong Kong,"12,564",,2014,Food and Environmental Hygiene Department,
Istanbul,"1,122",,2015,Istanbul Chamber of Commerce,
Johannesburg,"15,000",,2012,FEDHASA/VANSA,Estimate
Kuala Lumpur,"10,733",,2016,Openrice,
London,"24,360",,2014,Horizons research (on behalf of the Food Standards Agency),
Los Angeles,"36,571",,2015,LA County Department of Public Health Food Facility Ratings; City of Pasadena Restaurant Inspections,Does not include restaurants in the cities of Long Beach and Vernon
Madrid,"6,334",,2014,DirecciÍ_n General de EstadÍ_stica. Ayuntamiento de Madrid,
Melbourne,"4,009",,2015,Yellow Pages,
MontrÍ©al,"2,283",,2013,"RÍ©gie des alcools, des courses et des jeux du QuÍ©bec",
Moscow,"3,159",,2014,Yellow Pages,
Mumbai,"13,205",,2012,Brihanmumbai Municipal Corporation Diary,
New York,"23,520",,2015,New York City Department of Health Restaurant Inspection Information,
Osaka,"56,539",,2009,https://knoema.com/atlas/Japan/Osaka/topics/Trade/Trade-Establishments/Eating-places,
Paris,"38,393",,2012,Base permanente des Í©quipements (BPE) Insee,
Rio de Janeiro,"6,576",,2012,"SindRio, Sindicato de HotÍ©is, Bares e Restaurantes",
Rome,"14,495",,2015,Camera di Commercio - Infocamere,
San Francisco,"3,973",,2014,San Francisco Department of Public Health,
SÍ£o Paulo,"12,500",,2012,"SinHoRes, Sindicato de HotÍ©is, Restaurantes, Bares e Similares de SÍ£o Paulo",
Seattle,"3,027",,2016,TripAdvisor,
Seoul,"81,477",,2013,Statistics Korea,
Shanghai,"189,525",,2016,Dianping.com,
Shenzhen,"84,257",,2014,Dianping.com,
Singapore,"2,426",,2012,Department of Statistics Singapore - Service Survey Series (Food & Beverage) 2012,
Stockholm,"2,000",,2013,118100.se,
Sydney,"19,384",,2014,NSW Food Authority,Includes restaurants and cafes.
Taipei,"7,061",,2014,Ministry of Finance,
Tokyo,"150,510",,2009,Tokyo Metropolitan Government. Bureau of Social Welfare and Public Health,
Toronto,"7,961",,2015,Municipal licensing and standards,
Warsaw,"1,832",,,TripAdvisor,
