City,Population,UN-removed
Amsterdam,1068724,
Bangkok,8305218,
Beijing,11509595,
Berlin,3501872,
Bogota,6778691,
Boston,667137,4032484
Brussels,1561395,
Copenhagen,583525,
Dublin,1110627,
Edinburgh,448624,
Hong Kong,7305700,
Istanbul,14025646,
Johannesburg,11328203,752349
Kuala Lumpur,1588750,
London,8278251,
Los Angeles,11789487,
Madrid,3998829,
Melbourne,4181021,
Milan,1333670,
Montreal,4027121,
Moscow,11918057,
Mumbai,16434386,
New York,17799861,
Osaka,2665314,
Paris,10460118,
Philadelphia,5149079,
Rio de Janeiro,6320446,
Rome,2867671.5,
San Francisco,2995769,
Sao Paulo,11152968,
Seattle,2712205,
Seoul,10038916,
Shanghai,21730000,14348535
Shenzhen,7008831,
Singapore,5535002,
Stockholm,1904025,
Sydney,4575532,
Taipei,2704974,
Tokyo,12576601,
Toronto,6055724,
Vienna,1829876,
Warsaw,1716855,
