name,title,url,author,publisher,issued,publisher_classification,description,tags,license_id,license_url,place,location,country,language,status,metadatacreated,generator,api_endpoint,api_type,full_metadata_download
a2gov_org,"Ann Arbor, Michigan",http://www.a2gov.org/services/data/Pages/default.aspx,City of Ann Arbor,City of Ann Arbor,,,City of Ann Arbor's Open Data Catalog (USA),ctic unitedstates,,,"Ann Arbor, Michigan","42.2681569,-83.7312291",US,en,active,2011-06-27T18:12:57.439Z,,Not apparent,,
acikveri-sahinbey-bel-tr,Açık Veri Portali - Test Yayını,http://acikveri.sahinbey.bel.tr/dataset,pinardag,SahinBey Belediyesi ,31/01/2015,Government,The first official open data portal of Turkey,turkey national,Unknown,,"Gaziantep,Turkey","37.0587715,37.380137",TR,tr,active,,,,,
africa_open_data,Africa Open Data,http://africaopendata.org/,Africa Open Data,Africa Open Data,,,"Africa's largest central repository for Government, Civil Society, Corporate and Donor Agency Data.",ckan africa,,,Africa,"2.0000003,15.9999997",AF,en,active,2013-03-15T07:17:26.251Z,CKAN: 2.1.3,http://africaopendata.org/api/,,
ajuntament-de-tarragona,Open Data Tarragona,http://opendata.tarragona.cat/,Ajuntament de Tarragona,Ajuntament de Tarragona,,Government,Open Data Tarragona,city spain,,,Tarragona,"41.1157, 1.2496",ES,ca es en,active,,,,,
ajuntament-de-terassa,Open Data Terassa,http://opendata.terrassa.cat/,Ajuntament de Terassa,Ajuntament de Terassa,,Government,Open Data Terassa,city spain,,,Terrasa,"41.5611, 2.0081",ES,es en,active,,,,,
alabama,Alabama,http://open.alabama.gov/,,,,,Open Alabama Initiative,ctic unitedstates,,,"Alabama, US","33.2588817,-86.8295337",US,en,active,2011-06-27T18:14:45.618Z,,Not apparent,,
albania,Open Data Albania,http://open.data.al/,ShqiperiaCom Shpk / OSI / OSFA,ShqiperiaCom Shpk / OSI / OSFA,,,Albania Open Data Catalog,ctic,other-open,,Albania,"41.000028,19.9999619",AL,sq,active,2011-06-27T18:14:47.743Z,,Not apparent,,
alberta_ca,Alberta,http://data.alberta.ca/,Province of Alberta (Her Majesty the Queen in right of Alberta),Province of Alberta (Her Majesty the Queen in right of Alberta),,,You may request datasets via [webform](http://data.alberta.ca/dataset-request). The license is based upon the UK Government's Open Government Licence for Public Sector Information.,canada,,,"Alberta, Canada","55,-114.9999999",CA,en,active,2013-05-31T13:37:00.761Z,,Not apparent,,
algeria_opendataforafrica,Open Data for Algeria,http://algeria.opendataforafrica.org/,African Development Bank Group,African Development Bank Group,,,Open data portal for Algeria,africa,other-at,,Algeria,"28.0000272,2.9999825",DZ,en,active,2013-08-29T07:41:46.053Z,CKAN: 2.1.1,http://opendata.aragon.es/catalogo/api/,,
alkmaar_nl,Alkmaar - Open Data,http://www.alkmaar.nl/opendata,,,,,,level.local eu-official,,,"Alkmaar, Netherlands","52.6318828,4.7539303",NL,nl,active,2012-06-21T05:57:20.26Z,,Not apparent,,
allerdale,Allerdale Open Data,http://www.allerdale.gov.uk/default.aspx?Page=2288,Allerdale Borough Council,Allerdale Borough Council,,,Official borough data.,level.local unitedkingdom,uk-ogl,,"Allerdale, UK","54.7087559,-3.25250744009564",GB,en,active,2011-11-02T23:12:04.913Z,,Not apparent,,
amsterdam_geo_data,Open GEO-Data Amsterdam,http://www.gisdro.nl/open_geodata/,City of Amsterdam Planning Department,City of Amsterdam Planning Department,,,Open geographic data from the City of Amsterdam Planning Dept.,geodata level.local thematic eu-official netherlands,,,Amsterdam,"52.3710088,4.9001115",NL,nl,active,2012-06-21T06:04:49.695Z,,Not apparent,,
amsterdam_open_data,Amsterdam Open Data,http://www.amsterdamopendata.nl/home,Amsterdam Economic Board Open Data Exchange (ODE),Amsterdam Economic Board Open Data Exchange (ODE),,,"Portal commissioned in 2012 by the Amsterdam Economic Board Open Data Exchange (ODE). It aims at the Amsterdam metropolitan region and contains (public) data sources.

Amsterdam Open Data is built using the CKAN data catalogue as a back-end to Liferay CMS. The CKAN catalogue can be accessed directly at http://data.amsterdamopendata.nl/.",amsterdam ckan netherlands,,,"Amsterdam, The Netherlands","52.3710088,4.9001115",NL,nl,active,2013-06-21T09:06:30.809Z,CKAN: 2.1a,http://data.amsterdamopendata.nl/api/,,
andalusia-data-portal,Andalusia data portal,http://www.juntadeandalucia.es/datosabiertos/portal.html,Regional Government of Andalusia,Regional Government of Andalusia,,,Regional government data portal by the government of Andalusia.,level.regional eu-official spain,cc-by,,"Andalusia, Spain","37.3378056,-4.5824332",ES,es,active,2011-12-22T19:59:12.613Z,,Not apparent,,
angers,Angers Loire Metropol Data Catalog,http://data.angers.fr/,Angers government,Angers government,,,Metropolitan area data portal of Angers,level.local eu-official,odc-odbl,,Angers,"47.4711708,-0.5517522",FR,fr,active,2013-02-20T14:24:28.106Z,,Not apparent,,
aragon-open-data,Aragón Open Data,http://opendata.aragon.es/,Gobierno de Aragón,Gobierno de Aragón,,,The Open Data portal of the Aragón Autonomous Region in Spain.,level.regional ckan eu-official spain,cc-by,,Aragón,"41.3787291,-0.7639373",ES,es,active,2013-02-06T12:40:58.881Z,CKAN: 2.1.1,http://opendata.aragon.es/catalogo/api,,
arvada,"Arvada, Colorado",http://arvada.org/opendata,City of Arvada,City of Arvada,,,Arvada's OpenData Catalog (US),ctic unitedstates,,,"Arvada, Colorado","39.8027644,-105.0874842",US,en,active,2011-06-27T18:12:32.977Z,,Not apparent,,
asturias_es,Asturias Public Data,http://risp.asturias.es,Asturias Regional Government,Asturias Regional Government,,,Asturias Public Data catalogue...,ctic level.regional eu-official spain,cc-by,,Asturias,"10.5632607,123.71931",ES,es,active,2011-06-27T18:12:34.922Z,,No response 20140104,,
