Country or Area,Year,Area,City,Reliability,Source Year,Value,Value Footnotes
Mexico,2010,Total,"MEXICO, CIUDAD DE","Final figure, complete",2011,20116842,
Mexico,2010,Total,Tlalnepantla,"Final figure, complete",2011,20116842,
Mexico,2005,Total,Ciudad Del Carmen,"Final figure, complete",2007,17963196,"1,2"
United States of America,2000,Total,New York (NY),"Final figure, complete",2002,17799861,"3,4"
Mexico,2007,Total,"MEXICO, CIUDAD DE","Final figure, complete",2009,16922442,
India,2001,Total,Mumbai (Bombay),"Final figure, complete",2007,16434386,5
China,2000,Total,Shanghai,"Final figure, complete",2002,14348535,
Argentina,2013,Total,BUENOS AIRES,"Final figure, complete",2013,13339001.6,"6,7"
Argentina,2012,Total,BUENOS AIRES,"Final figure, complete",2012,13242375,"6,7"
India,2001,Total,Kolkata (Calcutta),"Final figure, complete",2007,13205697,"5,8"
Argentina,2010,Total,BUENOS AIRES,"Final figure, complete",2011,13047383.59,"6,7,9"
India,2001,Total,Delhi,"Final figure, complete",2007,12877470,"5,10"
Argentina,2015,Total,BUENOS AIRES,"Final figure, complete",2015,12847328,"6,11"
Japan,2005,Total,TOKYO,"Final figure, complete",2007,12576601,"12,13,14"
India,2001,Total,Mumbai (Bombay),"Final figure, complete",2007,11978450,5
Russian Federation,2012,Total,MOSKVA,"Final figure, complete",2013,11918057,
United States of America,2000,Total,Los Angeles (CA),"Final figure, complete",2002,11789487,"3,4"
Russian Federation,2011,Total,MOSKVA,"Final figure, complete",2012,11577022,
China,2000,Total,BEIJING (PEKING),"Final figure, complete",2002,11509595,
Russian Federation,2010,Total,MOSKVA,"Final figure, complete",2012,11503501,
Russian Federation,2010,Total,MOSKVA,"Final figure, complete",2012,11503501,
Argentina,1991,Total,BUENOS AIRES,"Final figure, complete",1991,11298030,
Brazil,2010,Total,Sao Paulo,"Final figure, complete",2012,11152968,
Russian Federation,2009,Total,MOSKVA,"Final figure, complete",2010,10536005,
Russian Federation,2008,Total,MOSKVA,"Final figure, complete",2009,10489644,
France,2010,Total,PARIS,"Final figure, complete",2014,10460118,15
Russian Federation,2007,Total,MOSKVA,"Final figure, complete",2008,10456490,
Russian Federation,2006,Total,MOSKVA,"Final figure, complete",2007,10433869,"16,17"
Russian Federation,2004,Total,MOSKVA,"Final figure, complete",2005,10406578,"16,17"
Mexico,2010,Total,"MEXICO, CIUDAD DE","Final figure, complete",2011,10386875,
Mexico,2010,Total,Tlalnepantla,"Final figure, complete",2011,10386875,
Republic of Korea,2010,Total,SEOUL,"Final figure, complete",2011,10038916,
Republic of Korea,2011,Total,SEOUL,"Final figure, complete",2012,10038905,18
Republic of Korea,2009,Total,SEOUL,"Final figure, complete",2009,10036377,
Republic of Korea,2008,Total,SEOUL,"Final figure, complete",2008,10031719,
Republic of Korea,2007,Total,SEOUL,"Final figure, complete",2008,10025669,
Republic of Korea,2006,Total,SEOUL,"Final figure, complete",2007,10020123,
Republic of Korea,2014,Total,SEOUL,"Final figure, complete",2014,10007651,18
Republic of Korea,2013,Total,SEOUL,"Final figure, complete",2013,9991064,18
Republic of Korea,2000,Total,SEOUL,"Final figure, complete",2002,9895217,
India,2001,Total,Delhi,"Final figure, complete",2007,9879172,5
Republic of Korea,2015,Total,SEOUL,"Final figure, complete",2015,9860372,18
Republic of Korea,2005,Total,SEOUL,"Final figure, complete",2007,9820171,
Mexico,2010,Total,"MEXICO, CIUDAD DE","Final figure, complete",2011,9729967,
Mexico,2010,Total,Tlalnepantla,"Final figure, complete",2011,9729967,
China,2000,Total,Chongqing,"Final figure, complete",2002,9691901,
France,1999,Total,PARIS,"Final figure, complete",2009,9643880,19
Indonesia,2010,Total,JAKARTA,"Final figure, complete",2011,9607787,
Pakistan,1998,Total,Karachi,"Final figure, complete",2000,9339023,20
Mexico,2005,Total,Ciudad Del Carmen,"Final figure, complete",2007,9285531,"1,2"
United States of America,2000,Total,New York (NY),"Final figure, complete",2002,9268860,"3,4"
India,2001,Total,Mumbai (Bombay),"Final figure, complete",2007,9021789,5
Japan,2010,Total,TOKYO,"Final figure, complete",2012,8945695,"13,21"
Mexico,2010,Total,"MEXICO, CIUDAD DE","Final figure, complete",2011,8851080,
Indonesia,2005,Total,JAKARTA,"Final figure, complete",2008,8820603,"22,23"
Mexico,2007,Total,"MEXICO, CIUDAD DE","Final figure, complete",2009,8753286,
Mexico,2005,Total,Ciudad Del Carmen,"Final figure, complete",2007,8720916,1
Mexico,2005,Total,Ciudad Del Carmen,"Final figure, complete",2007,8677665,"1,2"
United States of America,2000,Total,New York (NY),"Final figure, complete",2002,8531001,"3,4"
China,2000,Total,Guangzhou,"Final figure, complete",2002,8524826,
Japan,2005,Total,TOKYO,"Final figure, complete",2007,8489653,"12,13,14"
Peru,2007,Total,LIMA,"Final figure, complete",2009,8472935,24
Japan,2004,Total,TOKYO,"Final figure, complete",2004,8397617,"12,13,25"
United States of America,2009,Total,New York (NY),"Final figure, complete",2011,8391881,"3,4"
United States of America,2008,Total,New York (NY),"Final figure, complete",2009,8363710,"3,4"
United States of America,2012,Total,New York (NY),"Final figure, complete",2014,8336697,"3,26"
Japan,2003,Total,TOKYO,"Final figure, complete",2003,8333923,"12,13,25"
China,2000,Total,Wuhan,"Final figure, complete",2002,8312700,
United States of America,2000,Total,Chicago (IL),"Final figure, complete",2002,8307904,"3,4"
Thailand,2010,Total,BANGKOK,"Final figure, complete",2013,8305218,
United Kingdom of Great Britain and Northern Ireland,2001,Total,LONDON,"Final figure, complete",2006,8278251,"27,28,29"
