City,Working_age,Per.Capita,Date,Source,Notes,pop,Percentage
Amsterdam,1056000,NA,2013,Statistics Netherlands/TNO,,744159,1.419051574
Berlin,2297921,NA,2010,Amt f’_r Statistik Berlin-Brandenburg,,3378275,0.68020543
Boston,179460,,,http://www.census.gov/quickfacts/table/PST045215/2507000,,667137,0.269
Edinburgh,325791,NA,2014,National Records of Scotland,Indicator is the Mid year population estimate for residents aged 20-65 years.,438501,0.742965238
Hong Kong,4964600,NA,2013,Hong Kong Annual Digest of Statistics (2014 edition) P.5,,6078054,0.816807485
Istanbul,10243634,NA,2014,Turkish Statistical Institute,,10034830,1.020807926
Johannesburg,6833217,NA,2011,StatSA Mid Year Population Estimates 2011,,2091491,3.267151042
Kuala Lumpur,1064462.5,,,https://www.statistics.gov.my/index.php?r=column/ctheme&menu_id=L0pheU43NWJwRWVSZklWdzQ4TlhUUT09&bul_id=MDMxdHZjWTk1SjFzTzNkRXYzcVZjdz09,,1588750,0.67
London,5451872,NA,2013,Office for National Statistics,,7489022,0.727981838
Los Angeles,6565742,NA,2014,U.S. Census Bureau,,3911500,1.678573949
Madrid,1936251,NA,2014,"Padron Municipal de Habitantes, Ayuntamiento de Madrid",,3146804,0.61530715
Melbourne,2644210,NA,2015,Australian Bureau of Statistics,Ages 20-64,3780871,0.699365305
Moscow,7966676,NA,2010,Federal State Statistics Servise,,10472629,0.760714048
Mumbai,8643303,NA,2001,Census of India,,12883645,0.670874042
New York,5420114,NA,2010,U.S. Census Bureau,,8124427,0.667138002
Paris,7243890,NA,2014,Insee,,2141839,3.382088943
Philadelphia,2919528,,,,,5149079,0.567
Rio de Janeiro,3968209,NA,2011,Censo,,6055582,0.655297707
San Francisco,570823,NA,2010,US Census Bureau,,723724,0.788730234
Seoul,7048199,NA,2014,Statistics Korea,,10409345,0.677103026
Shanghai,17563800,NA,2015,National Bureau of Statistics of the People's Republic of China,Age 15-60,15017783,1.169533479
Shenzhen,8992400,NA,2014,Shenzhen Statistics Yearbook 2014,,1072093,8.387705171
Singapore,2583846,NA,2014,Department of Statistics Singapore,,3601745,0.717387266
Stockholm,1072974,NA,2013,Statistics Sweden,,1260712,0.851085736
Sydney,3282012,NA,2014,Australian Bureau of Statistics,14 to 65 age group,4444513,0.73844131
Tokyo,8739000,NA,2010,Japan Statistical Yearbook 2012,,8372440,1.043781741
Toronto,1686700,NA,2011,2011 Canada Census,,4670783,0.361117183
Vienna,1146755,NA,2014,Vienna Annual Statistics 2014,,1570976,0.729963411
Warsaw,1079165,NA,2011,National general registration,,1634441,0.660265498
