,Ernst & Young,Arthur Andersen,MSI,IGAF,AGN,BDO,Grant Thornton,Horwath,KPMG,Summit & Baker,RSM,Moores Rowland,HLB,Moore Stephens,Nexia,PKF,Fiducial,PWC,Impiric,TMP,Hakuhodo,Draft Worldwide,Densu Y & R,D'Arcy,FCB,Saatchi & Saatchi,O&M,BBDO,McCann Erickson,J Walter Thompson,Euro RSCG,CMG,Asatsu DK,West LB,Dresdner,Commerzbank,Deutsche,Chase,BNP Paribas,ABN Amro,CSFB,Rabobank,UBS,ING,Barclays,Fuji,BHV,BLG,Sakura,Sumitomo,Sanwa,JP Morgan,BTM,DKB,HSBC,Citibank,Allianz,Skandia,Chubb,Prudential,Reliance,Winterthur,Fortis,CGNU,Liberty,Royal & Sun,Lloyds,Latham & Watkins,Morgan Lewis,Baker & McKenzie,Clifford Chance,Jones Day,FBD,Allen & Overy,Dorsey & Whitney,Linklaters,White & Case,Cameron McKenna,Morrison & Foerster,Lovells,Skadden,Sidley & Austin,Coudert,Towers Perrin,Logica,Watson Wyatt,Sema,CSC,Hewitt,IBM,Mercer,Boston,Deloitte,BoozeA&M,A.T. Kearney,McKinsey,Bain,Compass,Andersen Consulting,Gemini,Total
ABERDEEN,2,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23
ABIJAN,3,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,2,0,0,0,0,2,0,2,2,0,0,2,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,38
ABU DHABI,2,2,0,0,2,0,0,2,2,0,2,0,2,0,0,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,45
ACCRA,0,0,0,0,0,0,2,0,2,0,0,2,2,0,0,2,0,2,0,0,0,0,0,0,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,33
ADDIS ABABA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13
ADELAIDE,2,2,2,3,2,0,0,2,2,0,3,2,2,2,2,2,0,2,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
AHMADABAD,0,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
ALEXANDRIA,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
ALGIERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11
ALMATY,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,2,2,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,41
AMMAN,2,0,0,2,0,3,0,2,2,0,0,2,0,0,2,3,2,2,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,42
AMSTERDAM,2,2,0,0,2,2,2,5,5,0,2,3,3,3,2,2,2,3,3,2,2,2,3,3,2,2,3,3,3,3,2,2,2,2,0,2,2,2,2,5,2,2,0,5,3,2,2,0,0,0,2,0,2,2,3,2,3,0,0,0,3,3,4,0,0,2,0,0,0,4,3,0,3,4,0,3,0,2,0,0,0,0,0,3,2,2,2,0,2,3,0,2,0,2,2,4,1,0,2,0,180
ANKARA,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
ANTWERP,2,2,0,0,2,0,2,0,2,0,0,3,2,0,0,3,3,2,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,3,0,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,58
ARHUS,2,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
ASUNCION,0,0,0,2,2,2,0,2,2,0,2,2,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,2,2,2,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,39
ATHENS,0,2,0,0,2,2,2,2,2,0,2,2,0,2,0,2,2,2,2,0,0,0,2,2,4,0,2,4,3,2,0,0,0,0,3,0,2,2,4,3,0,0,0,2,2,0,2,0,0,2,0,0,0,0,3,3,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,2,0,86
ATLANTA,3,3,2,3,2,0,1,2,3,0,3,3,2,2,0,2,0,2,0,3,0,0,0,0,2,0,2,2,3,3,0,2,0,0,0,2,2,3,0,2,2,2,0,3,2,0,0,0,0,2,0,2,2,0,0,3,0,0,2,0,0,2,1,3,3,0,2,0,0,0,0,3,2,0,0,2,0,0,0,0,0,0,0,3,0,2,3,0,2,0,0,2,0,2,2,2,3,2,2,0,122
AUCKLAND,2,2,0,2,2,0,2,3,3,2,2,2,3,3,0,3,2,2,2,2,0,2,3,0,2,2,2,3,3,2,0,2,0,0,0,0,2,0,2,2,2,2,0,2,2,0,0,0,0,2,0,0,2,0,3,2,2,0,0,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,2,0,2,0,0,2,0,106
BAGHDAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAKU,2,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
BALTIMORE,2,2,0,2,0,0,1,0,3,0,0,2,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,39
BANDA SERI BEGAWAN,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,19
BANDUNG,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
BANGALORE,2,2,0,0,1,0,0,0,2,0,2,2,2,2,0,2,0,2,2,0,0,2,3,0,2,0,2,2,2,3,2,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,58
BANGKOK,0,0,2,0,1,2,2,3,3,0,2,2,2,2,2,2,0,2,0,0,3,2,3,2,2,2,2,2,2,0,0,0,3,2,0,2,2,2,3,0,2,3,0,3,2,3,0,2,3,3,3,2,4,3,2,2,2,0,2,2,0,1,2,3,0,2,0,0,0,3,2,0,0,2,0,2,2,0,0,0,0,0,2,0,0,2,0,0,2,3,0,2,2,2,0,2,0,0,2,0,142
BARCELONA,2,2,2,2,2,0,0,2,2,0,2,3,3,2,2,2,3,2,2,3,0,0,2,2,2,0,2,3,3,3,0,0,0,0,0,2,4,2,0,2,0,2,0,0,2,0,0,0,0,2,0,0,2,0,2,2,2,0,2,0,3,3,0,3,0,3,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,2,0,2,2,2,116
BASEL,2,2,0,0,2,0,0,0,2,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
BATAM,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
BEIJING,0,2,0,0,0,1,2,2,2,0,2,2,2,2,2,0,0,2,2,0,2,0,3,2,2,2,2,2,2,2,2,0,4,2,3,2,2,3,2,2,2,2,0,3,3,2,2,3,2,3,2,2,2,2,2,0,2,0,2,0,0,2,2,2,0,0,0,0,0,2,2,0,2,1,0,0,0,2,2,2,2,0,0,0,2,2,3,0,2,2,2,0,0,0,2,2,2,0,2,0,142
BEIRUT,2,2,0,2,2,2,2,4,2,0,2,2,3,0,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,2,2,0,2,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,2,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,76
BELFAST,2,0,0,0,1,0,0,2,2,0,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
BELGRADE,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17
BELO HORIZONTE,2,2,0,0,0,0,0,2,2,0,2,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
BERGEN,0,2,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
BERLIN,0,2,0,2,2,0,0,3,3,0,2,4,2,0,0,3,2,3,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,2,2,3,4,2,0,2,0,0,2,2,2,0,3,3,0,0,0,0,2,0,2,3,2,3,0,0,0,3,2,0,0,0,0,0,0,2,3,0,2,0,0,3,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,2,106
BERN,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,24
BILBAO,2,2,0,0,0,0,0,0,2,0,2,2,0,2,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,39
BIRMINGHAM,2,2,0,0,2,0,0,2,2,3,3,0,3,2,0,2,0,2,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,50
BOGOTA,0,2,2,0,1,2,2,2,2,0,2,2,2,2,2,2,0,2,0,2,0,0,0,2,2,0,2,2,3,2,0,0,0,2,3,0,2,2,2,4,0,0,0,2,3,2,0,0,0,0,0,0,2,0,0,3,0,3,2,0,0,1,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,2,0,2,0,0,2,0,96
BOLOGNA,0,3,0,2,0,0,0,0,2,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
BONN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
BORDEAUX,0,0,0,0,0,0,0,0,3,0,3,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28
BOSTON,3,2,3,3,0,0,1,0,3,2,0,3,2,2,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,3,0,2,2,0,0,0,2,0,0,0,0,0,0,2,3,0,0,3,0,0,2,0,2,3,2,4,5,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3,0,3,2,0,2,5,0,2,2,2,5,0,2,2,114
BRATISLAVA,3,2,0,2,2,2,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,2,0,2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,2,0,56
BRAZILIA,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
BRAZZAVILLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BRISBANE,2,2,2,3,3,0,0,2,2,0,3,3,2,2,2,2,0,2,0,2,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,63
BRISTOL,2,2,0,0,0,0,0,0,2,2,3,0,2,2,2,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,47
BRUSSELS,2,2,0,0,2,5,2,3,2,0,3,2,2,2,0,0,3,2,1,2,0,3,2,2,3,2,2,3,3,3,0,2,0,4,3,3,3,2,4,2,0,0,0,3,2,0,0,0,2,3,2,3,2,0,2,3,4,0,2,0,0,3,5,2,0,2,2,0,2,2,3,2,4,1,2,4,3,2,2,2,2,0,3,2,2,2,3,0,2,3,0,2,3,0,2,2,3,0,2,2,187
BUCHAREST,0,0,0,0,0,2,2,2,2,0,3,0,2,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,2,3,0,0,0,0,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,61
BUDAPEST,2,2,0,2,2,0,2,2,3,0,3,0,4,2,2,2,0,2,2,0,0,0,3,2,2,2,2,2,2,2,0,0,0,3,3,2,2,0,3,4,2,2,0,0,2,0,2,3,0,2,0,0,0,0,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,2,1,0,2,2,3,0,2,0,0,2,0,0,0,0,0,2,2,0,2,2,0,2,2,0,0,2,0,118
BUENOS AIRES,2,2,0,2,2,4,2,3,2,0,2,2,2,2,2,2,2,2,3,2,0,0,3,2,2,2,2,2,2,3,0,2,0,4,3,2,2,2,0,0,2,2,0,3,3,0,2,0,0,0,0,2,2,2,2,3,2,0,2,0,4,3,0,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,3,0,2,2,2,2,2,2,2,4,0,0,2,0,143
BUFFALO,2,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,2,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
BULAWAYO,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
CAIRO,2,2,0,2,3,2,2,2,2,2,2,2,2,0,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,3,2,2,0,2,0,3,0,0,0,0,3,0,0,2,0,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,87
CALCUTTA,2,0,0,0,3,2,0,0,2,0,2,2,0,2,0,0,0,3,0,0,0,0,3,0,2,0,2,2,2,3,2,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,53
CALGARY,2,2,0,0,0,0,0,2,2,0,0,3,0,0,2,0,0,2,0,2,0,0,2,0,0,0,2,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,3,0,0,0,2,0,0,1,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,0,0,0,0,0,0,0,0,2,0,0,58
CANBERRA,2,0,0,0,1,0,0,0,2,0,2,2,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,23
CAPE TOWN,2,2,0,3,2,0,0,2,2,0,2,3,3,2,2,2,0,2,0,0,0,0,0,0,3,2,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,51
CARACAS,0,2,0,2,1,2,2,2,2,0,2,2,2,2,2,2,0,1,2,2,0,0,3,2,2,2,0,2,2,2,0,0,0,2,2,0,2,2,2,0,0,0,0,2,3,0,0,0,0,0,0,2,2,2,2,2,2,0,2,0,0,1,0,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,2,2,2,2,0,0,2,0,98
CARDIFF,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
