City,Educated,Usage,Cinemas,Number_of_restaurants,Working_age,service.firms,cluster,conts
Amsterdam,0.42,0.11,3.56E-05,0.001251025,0.988094213,0.000168425,2,Europe
Bangkok,0.221,0.05,NA,0.012240497,NA,1.71E-05,1,Asia
Beijing,0.195,0.3,1.30E-05,0.002606521,NA,1.23E-05,2,Asia
Berlin,0.39,0.2,2.68E-05,0.001394968,0.656197885,3.03E-05,2,Europe
Bogota,0.205,0,6.79E-06,0.000908435,0.689944416,1.42E-05,3,Other
Boston,0.485,0.05,2.85E-05,0.009246976,NA,0.000170879,2,North America
Brussels,NA,0.11,7.04E-06,0.002712318,NA,0.000119765,2,Europe
Copenhagen,0.2827,0.07,2.57E-05,NA,NA,0.000191937,2,Europe
Dublin,NA,0,7.20E-06,NA,NA,0.000107147,3,Europe
Edinburgh,0.563,0,2.01E-05,0.000307607,0.72620056,8.69E-05,2,Europe
Hong Kong,0.29,0.27,6.43E-06,0.001719753,0.679551583,3.46E-05,2,Asia
Istanbul,0.17,0.01,7.06E-06,8.00E-05,0.730350246,7.84E-06,3,Europe
Johannesburg,0.32,0,4.15E-06,0.001324129,0.603203968,1.09E-05,3,Other
Kuala Lumpur,0.4013,0.1,1.51E-05,0.006755625,NA,7.93E-05,2,Asia
London,0.6,0.19,1.91E-05,0.002942651,0.65857776,4.45E-05,2,Europe
Los Angeles,0.297,0.01,1.13E-05,0.003102001,0.556914987,1.70E-05,3,North America
Madrid,0.319,0.16,1.08E-05,0.001583964,0.484204501,4.55E-05,4,Europe
Melbourne,0.369,0,1.29E-05,0.000958857,0.632431648,3.18E-05,3,Other
Milan,NA,0.15,NA,NA,NA,0.000143214,2,Europe
Montreal,0.352,0.08,4.97E-06,0.000566906,0.297731307,2.78E-05,4,North America
Moscow,0.43,0.31,9.40E-06,0.00026506,0.668454262,1.08E-05,2,Europe
Mumbai,NA,0,6.39E-06,0.000803498,0.525927954,7.97E-06,3,Asia
New York,0.345,0.12,5.34E-06,0.001321359,0.304503164,2.01E-05,4,North America
Osaka,NA,0.1,7.88E-06,0.021212885,NA,1.73E-05,1,Asia
Paris,0.381,0.21,2.96E-05,0.003670417,0.692524692,2.25E-05,2,Europe
Philadelphia,0.377,0.03,3.69E-06,NA,NA,1.40E-05,3,North America
Rio de Janeiro,0.145,0.03,6.65E-06,0.001040433,0.627836865,1.20E-05,3,Other
Rome,NA,0.14,NA,0.005054624,NA,3.42E-05,2,Europe
San Francisco,0.524,0.04,8.35E-06,0.001326204,0.190543063,5.47E-05,4,North America
Sao Paulo,0.19,0.06,4.12E-06,0.001120778,0.602530196,1.51E-05,3,Other
Seattle,0.641,0,9.95E-06,0.001116066,NA,2.73E-05,4,North America
Seoul,0.348,0.35,8.77E-06,0.008116115,0.702087656,1.28E-05,1,Asia
Shanghai,0.429,0.21,1.06E-05,0.008721813,0.808274275,6.21E-06,1,Asia
Shenzhen,0.411,0.02,1.60E-05,0.012021548,1.283009963,3.99E-06,1,Asia
Singapore,0.273,0.25,5.42E-06,0.000438302,0.466819344,4.14E-05,4,North America
Stockholm,0.47,0.34,1.10E-05,0.001050406,0.563529365,7.25E-05,2,Europe
Sydney,0.349,0,1.25E-05,0.004236447,0.717296262,4.07E-05,3,Other
Taipei,0.712,0.34,1.33E-05,0.002610376,NA,5.29E-05,2,Asia
Tokyo,0.255,0.12,6.52E-06,0.011967462,0.694861831,1.94E-05,1,Asia
Toronto,0.69,0.07,7.60E-06,0.001314624,0.278529867,3.01E-05,4,North America
Vienna,0.23,0.32,1.48E-05,NA,0.62668454,6.67E-05,2,Europe
Warsaw,0.253,0.11,1.57E-05,0.001067067,0.628570846,7.22E-05,2,Europe
