"B4$City","Educated","Foreign_born","Cinema_Screens","Number_of_restaurants","Museums","Annual.ridership","cluster","conts"
"Amsterdam",0.42,0.34,0.000105733566383837,0.00125102458632912,5.61417166639843e-06,7.95340986073111e-05,2,"Europe"
"Bangkok",0.221,0.05,3.97340563486714e-05,0.012240497480018,2.52853085855182e-06,2.94995266831045e-05,1,"Asia"
"Beijing",0.195,0,7.12449047946518e-05,0.00260652090712141,6.77695435851566e-06,0.000213734714383955,2,"Asia"
"Berlin",0.39,0.13,7.59593725870049e-05,0.00139496817702075,5.14010791942138e-06,0.000144208583294878,2,"Europe"
"Bogota",0.205,0,3.58476289891367e-05,0.000908434976605365,1.4752110695118e-07,0,3,"Other"
"Boston",0.485,0.251,7.79450097955892e-05,0.0092469762582498,1.49894249606902e-05,0.000220344546922146,2,"North America"
"Brussels",NA,0.46,4.16294403402086e-05,0.00271231815139667,5.12362342648721e-06,8.51802394653499e-05,2,"Europe"
"Copenhagen",0.2827,0.18,9.25410222355512e-05,NA,NA,9.25410222355512e-05,2,"Europe"
"Dublin",NA,0.2,4.59200073472012e-05,NA,9.00392300925513e-06,0,3,"Europe"
"Edinburgh",0.563,0.14,0.000138200363779022,0.000307607261314598,4.4580762509362e-06,0,2,"Europe"
"Hong Kong",0.29,0.09,2.86077993895178e-05,0.00171975306952106,2.326950189578e-06,0.000197653886691214,2,"Asia"
"Istanbul",0.17,0.031,5.01937664760682e-05,7.99963153212337e-05,1.56855520237713e-06,5.56124117206437e-06,3,"Europe"
"Johannesburg",0.32,0.06,3.24852935633304e-05,0.00132412881372271,7.94477288233624e-07,0,3,"Other"
"Kuala Lumpur",0.4013,0.09,0.000123367427222659,0.00675562549173879,1.07002360346184e-05,6.86073957513769e-05,2,"Asia"
"London",0.6,0.36,0.00010388667847834,0.00294265056713067,1.5703800235098e-06,0.000141455000579229,2,"Europe"
"Los Angeles",0.297,0.35,9.10132900608822e-05,0.00310200096068642,1.69642665537525e-07,3.90178130736308e-06,3,"North America"
"Madrid",0.319,0.2,6.10178629793872e-05,0.00158396370537475,1.7505124625234e-06,0.000158796487671766,4,"Europe"
"Melbourne",0.369,0.37,8.92126588218524e-05,0.000958856700313153,7.17528087039027e-07,0,3,"Other"
"Milan",NA,0.259,NA,NA,1.49962134561023e-05,0.000245937900680078,2,"Europe"
"Montreal",0.352,0.33,4.76767397850723e-05,0.000566906234006875,0,5.43812813173481e-05,4,"North America"
"Moscow",0.43,0.13,4.9085182257477e-05,0.000265059984190376,2.43328253925955e-06,0.000200452137458312,2,"Europe"
"Mumbai",NA,0.01,1.4116742785523e-05,0.000803498226219099,2.43392116991776e-07,6.08480292479439e-06,3,"Asia"
"New York",0.345,0.37,2.1011400032843e-05,0.00132135863308146,3.93261497940911e-07,9.29782541560296e-05,4,"North America"
"Osaka",NA,0.02,NA,0.021212885236036,NA,0.000313659103580291,1,"Asia"
"Paris",0.381,0.22,0.000100763681633419,0.00367041748477407,2.58123283121663e-06,0.000145696253139783,2,"Europe"
"Philadelphia",0.377,0.116,1.59251780755355e-05,NA,NA,2.07804152936865e-05,3,"North America"
"Rio de Janeiro",0.145,0.01,2.9902953051098e-05,0.00104043290615884,6.32866731240169e-07,3.35419367557289e-05,3,"Other"
"Rome",NA,0.095,7.07891402484559e-05,0.00505462358572103,5.92815460208744e-06,0.000115424657252408,2,"Europe"
"San Francisco",0.524,0.36,2.7705740996719e-05,0.00132620372265018,0,3.70522560317568e-05,4,"North America"
"Sao Paulo",0.19,0.01,2.62710338629143e-05,0.00112077789517553,8.96622316140421e-08,7.86337771255149e-05,3,"Other"
"Seattle",0.641,0.173,3.39207397670899e-05,0.00111606607907588,NA,0,4,"North America"
"Seoul",0.348,0.04,5.02046236864618e-05,0.0081161153255989,1.49418522876374e-06,0.00025082389373514,1,"Asia"
"Shanghai",0.429,0,3.52047860101243e-05,0.00872181316152784,4.3718361711919e-06,0.000104739990796134,1,"Asia"
"Shenzhen",0.411,0,7.51908556505357e-05,0.0120215482439226,4.28031436340811e-07,1.88333831989957e-05,1,"Asia"
"Singapore",0.273,0.29,3.73983604703305e-05,0.00043830155797595,1.08401044841538e-06,0.000143450716006968,4,"North America"
"Stockholm",0.47,0.3,7.14276335657357e-05,0.0010504063759667,1.52308924515172e-05,0.000162287785086855,2,"Europe"
"Sydney",0.349,0.4,8.02092521700209e-05,0.00423644725902911,2.1855382062676e-07,0,3,"Other"
"Taipei",0.712,0.03,6.76531456494591e-05,0.00261037629197175,2.58782524342193e-06,0.000241037436958729,2,"Asia"
"Tokyo",0.255,0.02,2.65572550166774e-05,0.0119674624328147,6.36101916567123e-07,0.000246648518148902,1,"Asia"
"Toronto",0.69,0.49,4.90445073124204e-05,0.00131462398220262,0,4.59069799085956e-05,4,"North America"
"Vienna",0.23,0.32,7.86938568515025e-05,NA,7.65079163834052e-06,0.000291823052490988,2,"Europe"
"Warsaw",0.253,0.013,8.09619915485e-05,0.00106706739940181,8.15444519193525e-06,8.15444519193525e-05,2,"Europe"
