City,Figure,Per Capita,Date,Source,Notes
Amsterdam,"1,516",,2013,Trade Association for Horeca and Catering,
Beijing,"1,684",,2016,Dianping.com,
Berlin,"1,247",,2008,Amt fí_r Statistik Berlin-Brandenburg,
Boston,675,,2011,,
Brussels,"1,743",,2013,FOD Economie ADSEI,
Buenos Aires,"3,642",,2013,"AHRCC (Ascociacií_n de Hoteles, Restaurantes, Confiterí_as y Cafí©s de la Ciudad)",
Edinburgh,451,,2015,City of Edinburgh Council licencsed premises database,
Guangzhou,"1,695",,2016,Dianping.com,
Hong Kong,"1,200",,2013,Industry Statistics,
Istanbul,304,,2015,Istanbul Chamber of Commerce,
London,"2,694",,2015,Yell,
Los Angeles,"3,248",,2013,Citysearch/Yelp,
Madrid,"5,877",,2014,Direccií_n General de Estadí_stica. Ayuntamiento de Madrid,
Melbourne,713,,2015,Victorian Commission for Gambling and Liquor Regulation,
Montrí©al,"1,287",,2013,"Rí©gie des alcools, des courses et des jeux du Quí©bec",
Moscow,581,,2014,Yellow Pages,
Mumbai,543,,2012,Yellow Pages,
New York,"2,657",,2013,US Census Bureau,
Paris,"3,263",,2015,Pages Jaunes,
Philadelphia,511,,,,
Rio de Janeiro,"12,072",,2012,"SindRio, Sindicato de Hotí©is, Bares e Restaurantes",
San Diego,329,,,,
San Francisco,377,,2014,San Francisco Department of Public Health,
Sí£o Paulo,"15,000",,2012,"SinHoRes, Sindicato de Hotí©is, Restaurantes, Bares e Similares de Sí£o Paulo",
Seoul,"18,829",,2013,Statistics Korea,
Shanghai,"2,693",,2015,Dianping.com,
Shenzhen,"1,434",,2014,Dianping.com,
Singapore,659,,2014,Eguide Singapore Business Directory - Bars and Pubs,
Stockholm,414,,2013,118100.se,
Sydney,791,,2015,Office of Liquor Gaming and Racing,Nightclub' licensed venues in Sydney metro
Taipei,234,,2015,Ministry of Finance,
Tokyo,"14,184",,2012,Kakaku.com. Inc.,
Toronto,957,,2013,TO Bars,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
