Name,Phone,URL,Square Feet Total,Neighborhood,Organization Type,Dominant Discipline,Year of Occupation,Rent vs Own,Age of Current Building,Length of Lease (Date), Year Organization Founded,Number of Past Facilities,Stages and Theaters,Stage & Theater Seats ,Gallery Space,Gallery Square Feet,ADA Compliant,Available Parking,Street Presence,Rental Space ,Alcohol Sales,Organization Mission,Funded by A&C,"Stability Index (5=very stable, 1=very uncertain)","Control Index (5=very in control, 1 = very out of control) ",Constituency over 50% one race,Specific Demographics and Community,Organization Leadership,Organization Artists,Closed Date,Closed?,Address,Location
Seattle Architecture Foundation,(206) 667-9184,www.seattlearchitecture.org,1200,Downtown,Y,Advocacy,2001,R,1965,It's month to month.,1982,2,0,0,Y,800,,0,N,N,Y,,Y,2,,,,,,,0,1333 5th Ave # 300 Seattle WA 98101,"(47.609191699999997, -122.3345412)"
Artist Trust,(866) 218-7878,www.artisttrust.org,3500,Capitol Hill,Y,Arts Administration,2001,O,2002,0,1987,1,0,0,N,0,Y,4,Y,N,N,,Y,5,,,,,,,0,1835 12th Ave Seattle WA 98122,"(47.618568600000003, -122.31724869999999)"
826 Seattle/ The Greater Seattle Bureau of Fearless Ideas,(206) 725-2625,www.826seattle.org,4608,Greenwood,Y,Arts Ed,2004,R,1920,2020,2005,0,0,0,N,0,N,0,Y,N,N,,Y,5,,,,,,,0,8414 Greenwood Ave N Seattle WA 98103,"(47.690262099999998, -122.35490160000001)"
American Dance Institute,(206) 783-0755,www.americandanceinstitute.com,2800,Greenwood,N,Arts Ed,1988,R,1940,2018,1988,0,0,0,N,0,N,2,Y,Y,N,,N,3,,,,,,,0,8001 Greenwood Ave N Seattle WA 98103,"(47.6870482, -122.3554887)"
Art Institute of Seattle,(206) 448-6600,www.artinstitutes.edu/seattle,100167,Belltown,N,Arts Ed,1983,R,,2026,1946,2,0,0,Y,1600,Y,0,Y,N,Y,,N,4,,,,,,,0,2323 Elliott Ave Seattle WA 98121,"(47.612289500000003, -122.3491939)"
Burke Museum,(206) 543-5590,www.burkemuseum.org,60000,University District,Y,Arts Ed,1962,O,1962,0,1885,3,1,80,Y,17466,Y,,Y,Y,Y,,,5,,,,,,,0,17 Ave NE and Northeast 45th St Seattle WA 98105,"(47.660922499999998, -122.3151058)"
Choeizan Enkyoji Nichiren Buddhist Temple,(206) 356-7405,www.seattlebuddhist.org,1200,International,Y,Arts Ed,2010,R,1901,None,2010,0,0,0,N,0,N,0,N,,N,,N,3,,,,,,,0,501 S Jackson St Suite 202 Seattle WA 98104,"(47.598959299999997, -122.3271163)"
Coyote Central,(206) 323-7276,www.coyotecentral.org,5000,Central District,Y,Arts Ed,2011,O,1929,0,1986,2,0,0,Y,700,Y,6,Y,Y,Y,,Y,5,,,,,,,0,2300 E Cherry St Seattle WA 98122,"(47.608186199999999, -122.3025461)"
Kind Hand Studio (CLOSED),(206) 618-1447,www.khspottery.com,158,Ballard,N,Arts Ed,2012,R,,It's month to month.,2000,1,0,0,N,0,,0,,,N,,N,2,,,,,,12/1/13,1,4775 Ballard Ave NW Seattle WA 98107,"(47.664240399999997, -122.3810653)"
Red Eagle Soaring Native Youth Theatre and Daybreak Star Cultural Center,(206) 829-2219,www.unitedindians.org/daybreak.htmlâ€Ž,14000,Magnolia,Y,Arts Ed,1970,Other,1970,2059,1970,3,0,0,Y,500,Y,145,Y,Y,Y,,,1,,,,,,,0,3801 W Government Way Seattle WA 98199,"(47.657631799999997, -122.40633010000001)"
School of Visual Concepts,(206) 623-1560,www.svcseattle.com,7000,South Lake Union,N,Arts Ed,1971,R,1920,2014,1971,0,0,0,Y,1200,N,22,N,N,N,,N,1,,,,,,,0,500 Aurora Ave N Seattle WA 98109,"(47.623386600000003, -122.3432681)"
Seattle Art Museum,(206) 654-3210,www.seattleartmuseum.org,200000,Downtown,Y,Arts Ed,1993,O,1991,0,1933,1,1,200,Y,66392,Y,0,Y,Y,Y,,Y,5,,,,,,,0,1300 1st Ave Seattle WA 98101,"(47.607195500000003, -122.3382555)"
Seattle Asian Art Museum,(206) 654-3100,www.seattleartmuseum.org/visit/visitSAAM.asp,15000,Capitol Hill,Y,Arts Ed,1933,O,1933,0,1933,0,1,,Y,,Y,,N,Y,Y,,Y,5,,,,,,,0,1400 E Prospect St Seattle WA 98112,"(47.630283749999997, -122.3141998)"
Seattle Center ArtsED WA in Seattle Center Pavillion,(206) 441-4501,www.artsedwashington.org,,Seattle Center in Uptown,Y,Arts Ed,1992,R,1962,,1982,0,0,0,N,0,N,0,Y,N,N,,Y,4,,,,,,,0,158 Thomas St Seattle WA 98109,"(47.621105999999997, -122.3537817)"
Seattle Center Cornish Playhouse,(206) 726-5113,www.cornish.edu/playhouse,35000,Seattle Center in Uptown,Y,Arts Ed,2012,R,1961,2034,1913,3,2,628,Y,10000,Partial,0,N,Y,Y,,Y,5,,,,,,,0,201 Mercer St Seattle WA 98109,"(47.623760799999999, -122.352406)"
Seattle Center Pottery Northwest,(206) 285-4421,www.potterynorthwest.org,10600,Seattle Center in Uptown,Y,Arts Ed,1973,R,1965,2033,1965,1,0,0,Y,360,Y,2,Y,Y,Y,,Y,4,,,,,,,0,226 1st Ave N Seattle WA 98109,"(47.620772899999999, -122.3551686)"
Seattle Glassblowing Studio,(206) 448-2181,www.seattleglassblowing.com,9500,Belltown,N,Arts Ed,1991,O,1946,0,1987,2,0,0,Y,1500,Y,0,Y,,N,,N,5,,,,,,,0,2227 5th Ave Seattle WA 98121,"(47.615580399999999, -122.34288789999999)"
Seattle Pinball Museum,(206) 623-0759,www.facebook.com/seattle-pinball-museum,1980,International District,N,Arts Ed,2010,R,1910,2014,2010,0,0,0,N,0,Y,0,Y,N,Y,,N,2,,,,,,,0,508 Maynard Ave S Seattle WA 98104,"(47.598008100000001, -122.3248662)"
Central Cinema,(206) 328-3230,www.central-cinema.com,3500,Central District,N,Cinema,2005,R,1929,2025,2005,0,1,120,,,Y,0,Y,Y,Y,,N,4,,,,,,,0,1411 21st Ave Seattle WA 98122,"(47.613221500000002, -122.3051662)"
Cinerama,(206) 448-6680,www.cinerama.com,14000,Belltown,N,Cinema,2009,O,1963,0,2009,3,1,797,Y,60,Y,0,N,N,N,,N,5,,,,,,,0,2100 4th Ave Seattle WA 98121,"(47.614155699999998, -122.3413991)"
Grand Illusion,(206) 523-3935,www.grandillusioncinema.org,1000,University District,Y,Cinema,1973,R,1920,,2003,0,1,70,N,0,N,0,Y,Y,N,,N,3,,,,,,,0,1403 NE 50th St. Seattle WA 98105,"(47.664752, -122.3127097)"
