"City","Country.Subdivision","Country","Starbucks"
"上海市","31","CN",198
"New York","NY","US",187
"London","ENG","GB",179
"Chicago","IL","US",153
"Mexico City","DIF","MX",150
"Seattle","WA","US",135
"서울","11","KR",135
"Toronto","ON","CA",133
"Las Vegas","NV","US",125
"Houston","TX","US",119
"Calgary","AB","CA",109
"San Diego","CA","US",105
"北京市","11","CN",104
"Vancouver","BC","CA",100
"Portland","OR","US",94
"Taipei City","TPE","TW",93
"Los Angeles","CA","US",90
"Seoul","11","KR",85
"Phoenix","AZ","US",83
"Istanbul","34","TR",81
"San Francisco","CA","US",77
"Washington","DC","US",72
"Dallas","TX","US",71
"San Jose","CA","US",68
"Denver","CO","US",66
"San Antonio","TX","US",66
"Edmonton","AB","CA",64
"Jakarta","JK","ID",60
"Hong Kong","91","CN",58
"广州市","44","CN",57
"Sacramento","CA","US",57
"深圳市","44","CN",52
"Dubai","DU","AE",52
"Moscow","MOW","RU",52
"Austin","TX","US",51
"Paris","J","FR",51
"Atlanta","GA","US",49
"Buenos Aires","C","AR",46
"Charlotte","NC","US",46
"Tucson","AZ","US",46
"Boston","MA","US",45
"Lima","LIM","PE",45
"Indianapolis","IN","US",43
"Santiago","RM","CL",41
"Miami","FL","US",40
"Singapore","01","SG",40
"Madrid","MD","ES",39
"Winnipeg","MB","CA",39
"Osaka","27","JP",37
"Yokohama","14","JP",37
"成都市","51","CN",36
"Chiyoda","13","JP",36
"Colorado Springs","CO","US",36
"Kuala Lumpur","14","MY",36
"Minato","13","JP",36
"Nagoya","23","JP",36
"Orlando","FL","US",36
"Saitama","11","JP",36
"مدينة الكويت","KU","KW",36
"Philadelphia","PA","US",35
"Fukuoka","40","JP",34
"New Taipei City","TPQ","TW",34
"Pittsburgh","PA","US",34
"Montreal","QC","CA",33
"Ottawa","ON","CA",33
"Tampa","FL","US",33
"Cincinnati","OH","US",32
"Honolulu","HI","US",32
"Taichung City","TXG","TW",32
"Fresno","CA","US",31
"Scottsdale","AZ","US",31
"杭州市","33","CN",30
"Jacksonville","FL","US",30
"Spokane","WA","US",30
"Richmond","VA","US",29
"Bakersfield","CA","US",28
"Columbus","OH","US",28
"Guadalajara","JAL","MX",28
"Sao Paulo","SP","BR",28
"Mississauga","ON","CA",27
"Quezon City","41","PH",27
"Albuquerque","NM","US",26
"Ankara","06","TR",26
"Bellevue","WA","US",26
"Mesa","AZ","US",26
"Monterrey","NLE","MX",26
"武汉市","42","CN",25
"Makati City","41","PH",25
"Shibuya","13","JP",25
"Vancouver","WA","US",25
"Virginia Beach","VA","US",25
"Baltimore","MD","US",24
"Brooklyn","NY","US",24
"Reno","NV","US",24
"Surrey","BC","CA",24
"Tacoma","WA","US",24
"Victoria","BC","CA",24
"경기도","41","KR",24
"Fort Worth","TX","US",23
"Long Beach","CA","US",23
"Louisville","KY","US",23
"Shinjuku","13","JP",23
"南京市","32","CN",22
"Abu Dhabi","AZ","AE",22
"Busan","26","KR",22
"Dublin","L","IE",22
"Raleigh","NC","US",22
"重庆市","50","CN",21
"天津市","12","CN",21
"Aurora","CO","US",21
"Kaohsiung City","KHH","TW",21
"Nashville","TN","US",21
"Plano","TX","US",21
"Alexandria","VA","US",20
"Barcelona","CT","ES",20
"Chiba","12","JP",20
"Grand Rapids","MI","US",20
"Irvine","CA","US",20
"Kansas City","MO","US",20
"Littleton","CO","US",20
"Riverside","CA","US",20
"Roseville","CA","US",20
"Salt Lake City","UT","US",20
"Tempe","AZ","US",20
"Arlington","VA","US",19
"Memphis","TN","US",19
"Minneapolis","MN","US",19
"Omaha","NE","US",19
"Richmond","BC","CA",19
"Zurich","ZH","CH",19
"مدينة الكويت","HA","KW",19
"Anchorage","AK","US",18
"Burnaby","BC","CA",18
"Chandler","AZ","US",18
"El Paso","TX","US",18
"Henderson","NV","US",18
"Huntington Beach","CA","US",18
"Lynnwood","WA","US",18
"Manchester","ENG","GB",18
"Pasadena","CA","US",18
"Santa Rosa","CA","US",18
"الرياض","01","SA",18
"Daegu","27","KR",17
"Knoxville","TN","US",17
"Kobe","28","JP",17
"London","ON","CA",17
"Petaling Jaya","10","MY",17
"Tainan City","TNN","TW",17
"BERLIN","BE","DE",16
"Chuo","13","JP",16
"Eugene","OR","US",16
"Kyoto","26","JP",16
"Oakland","CA","US",16
"Tulsa","OK","US",16
"Wichita","KS","US",16
"부산","26","KR",16
"苏州市","32","CN",15
"西安市","61","CN",15
"Boise","ID","US",15
"Lexington","KY","US",15
"Milwaukee","WI","US",15
"Oklahoma City","OK","US",15
"Redmond","WA","US",15
"Santa Ana","CA","US",15
"Santa Monica","CA","US",15
"Stockton","CA","US",15
"Torrance","CA","US",15
"宁波市","33","CN",14
"青岛市","37","CN",14
"Anaheim","CA","US",14
"Arlington","TX","US",14
"Athens","A1","GR",14
"Burbank","CA","US",14
"Costa Mesa","CA","US",14
"Edinburgh","SCT","GB",14
"Escondido","CA","US",14
"Everett","WA","US",14
"Fort Collins","CO","US",14
"Fort Wayne","IN","US",14
"Fremont","CA","US",14
"Glendale","AZ","US",14
"Kent","WA","US",14
"Modesto","CA","US",14
"Norfolk","VA","US",14
"North Vancouver","BC","CA",14
"Praha","PR","CZ",14
"东莞市","44","CN",13
"沈阳市","21","CN",13
"Alpharetta","GA","US",13
"Beaverton","OR","US",13
"Fairfax","VA","US",13
"Fort Myers","FL","US",13
"Greensboro","NC","US",13
"Kirkland","WA","US",13
"Kowloon","91","CN",13
"Marietta","GA","US",13
"Puyallup","WA","US",13
"Sapporo","01","JP",13
"Sarasota","FL","US",13
"Shizuoka","22","JP",13
"Singapore","05","SG",13
"Spring","TX","US",13
"Westminster","CO","US",13
"","C","EG",12
"厦门市","35","CN",12
"Auckland","N","NZ",12
"Birmingham","AL","US",12
"Birmingham","ENG","GB",12
"Boca Raton","FL","US",12
"Cancun","ROO","MX",12
"Falls Church","VA","US",12
"Grand Junction","CO","US",12
"Hsinchu City","HSZ","TW",12
"Kelowna","BC","CA",12
"Longmont","CO","US",12
"Myrtle Beach","SC","US",12
"Okinawa","47","JP",12
"Orange","CA","US",12
"Overland Park","KS","US",12
"Quezon City","00","PH",12
"Salem","OR","US",12
"Santa Clara","CA","US",12
"Sendai","04","JP",12
"Springfield","MO","US",12
"St. Louis","MO","US",12
"Ventura","CA","US",12
"Warszawa","MZ","PL",12
"Wattana","10","TH",12
"长沙市","43","CN",11
"Ann Arbor","MI","US",11
"Boulder","CO","US",11
"Burlington","ON","CA",11
"Cambridge","MA","US",11
"Chula Vista","CA","US",11
"Concord","CA","US",11
"Elk Grove","CA","US",11
"Fort Lauderdale","FL","US",11
"Gilbert","AZ","US",11
"Glasgow","SCT","GB",11
"Hillsboro","OR","US",11
"Katy","TX","US",11
"Lakewood","CO","US",11
"Langley","BC","CA",11
"Little Rock","AR","US",11
"Livermore","CA","US",11
"Naples","FL","US",11
"Newport Beach","CA","US",11
"Niagara Falls","ON","CA",11
"Rio de Janeiro","RJ","BR",11
"Rockville","MD","US",11
"San Mateo","CA","US",11
"Santa Clarita","CA","US",11
"Saskatoon","SK","CA",11
"Savannah","GA","US",11
"Seongnam","41","KR",11
"Troy","MI","US",11
"Wien","9","AT",11
"昆明市","53","CN",10
"Albany","NY","US",10
"Cardiff","WLS","GB",10
"Cary","NC","US",10
"Cleveland","OH","US",10
"Clovis","CA","US",10
"Corona","CA","US",10
"Durham","NC","US",10
"Frisco","TX","US",10
"Gainesville","FL","US",10
"Glendale","CA","US",10
"Gwangju","29","KR",10
"Hayward","CA","US",10
"Hiroshima","34","JP",10
"Issaquah","WA","US",10
"Koto","13","JP",10
"Lake Oswego","OR","US",10
"Makati City","00","PH",10
"Manila","41","PH",10
"Mountain View","CA","US",10
"MUENCHEN","BY","DE",10
"Naperville","IL","US",10
"New Orleans","LA","US",10
"New Westminster","BC","CA",10
"Oceanside","CA","US",10
"Olympia","WA","US",10
"Patumwan","10","TH",10
"Rancho Cucamonga","CA","US",10
"Renton","WA","US",10
"Salinas","CA","US",10
"Silver Spring","MD","US",10
"Sterling","VA","US",10
"Sunnyvale","CA","US",10
"Surabaya","JI","ID",10
"Tallahassee","FL","US",10
"Thornton","CO","US",10
"Thousand Oaks","CA","US",10
"Walnut Creek","CA","US",10
"جدة","02","SA",10
"大连市","21","CN",9
"合肥市","34","CN",9
"Amsterdam","NH","NL",9
"Annapolis","MD","US",9
"Arvada","CO","US",9
"Asheville","NC","US",9
"Bellingham","WA","US",9
"Bend","OR","US",9
"Bothell","WA","US",9
"Charleston","SC","US",9
"Chesapeake","VA","US",9
"Coquitlam","BC","CA",9
"Daejeon","30","KR",9
"El Cajon","CA","US",9
"Folsom","CA","US",9
"FRANKFURT AM MAIN","HE","DE",9
"Fullerton","CA","US",9
"Gaithersburg","MD","US",9
"Greenville","SC","US",9
"Halifax","NS","CA",9
"Highlands Ranch","CO","US",9
"Izmir","35","TR",9
"Kamloops","BC","CA",9
"Kawasaki","14","JP",9
"Mission Viejo","CA","US",9
"Napa","CA","US",9
"Oakville","ON","CA",9
"Palm Desert","CA","US",9
"Palo Alto","CA","US",9
"Pasig City","41","PH",9
"Redding","CA","US",9
"Redwood City","CA","US",9
"Saint Petersburg","FL","US",9
"San Luis Obispo","CA","US",9
"Setagaya","13","JP",9
"Singapore","02","SG",9
"Sioux Falls","SD","US",9
"St Louis","MO","US",9
"Surprise","AZ","US",9
"Taguig City","41","PH",9
"Temecula","CA","US",9
"The Woodlands","TX","US",9
"Tigard","OR","US",9
"Toshima","13","JP",9
"Vaughan","ON","CA",9
"Winston-Salem","NC","US",9
"Woodland Hills","CA","US",9
"인천","28","KR",9
"常州市","32","CN",8
"南宁市","45","CN",8
"Abbotsford","BC","CA",8
"Akron","OH","US",8
"Antalya","07","TR",8
"Auburn","WA","US",8
"Bristol","ENG","GB",8
"Budapest","BU","HU",8
"Carmel","IN","US",8
"Carson","CA","US",8
"Charlottesville","VA","US",8
"Columbia","SC","US",8
"Davis","CA","US",8
"Encinitas","CA","US",8
"Fairfield","CA","US",8
"Federal Way","WA","US",8
"Flower Mound","TX","US",8
"Fredericksburg","VA","US",8
"Garden Grove","CA","US",8
"Greeley","CO","US",8
"HAMBURG","HH","DE",8
"Incheon","28","KR",8
"Madison","WI","US",8
"Mandaluyong City","41","PH",8
"Markham","ON","CA",8
"McLean","VA","US",8
"Miami Beach","FL","US",8
"Milpitas","CA","US",8
"Mobile","AL","US",8
"Mumbai","MH","IN",8
"Nagano","20","JP",8
"Ontario","CA","US",8
"Pensacola","FL","US",8
"Peoria","AZ","US",8
"Puebla","PUE","MX",8
"Santa Barbara","CA","US",8
"Santa Fe","NM","US",8
"Schaumburg","IL","US",8
"Shinagawa","13","JP",8
"Simi Valley","CA","US",8
"Sparks","NV","US",8
"Staten Island","NY","US",8
"Tangerang","BT","ID",8
"Tochigi","09","JP",8
"Tsukuba","08","JP",8
"Visalia","CA","US",8
"Vista","CA","US",8
"West Palm Beach","FL","US",8
"Williamsburg","VA","US",8
"Yakima","WA","US",8
"Yuma","AZ","US",8
"济南市","37","CN",7
"昆山市","32","CN",7
"无锡市","32","CN",7
"Allen","TX","US",7
"Atlantic City","NJ","US",7
"Bethesda","MD","US",7
"Brea","CA","US",7
"Campbell","CA","US",7
"Carlsbad","CA","US",7
"Chapel Hill","NC","US",7
"Cherry Hill","NJ","US",7
"Clearwater","FL","US",7
"Columbia","MD","US",7
"Denton","TX","US",7
"Dublin","OH","US",7
"Duluth","GA","US",7
"Elkhart","IN","US",7
"Englewood","CO","US",7
"Evanston","IL","US",7
"Flagstaff","AZ","US",7
"Fontana","CA","US",7
"Garland","TX","US",7
"Herndon","VA","US",7
"Holland","MI","US",7
"Humble","TX","US",7
"Huntsville","AL","US",7
"Hyogo","28","JP",7
"Kennesaw","GA","US",7
"Kota Kinabalu","12","MY",7
"La Jolla","CA","US",7
"La Mesa","CA","US",7
"Lawrence","KS","US",7
"Leon","GUA","MX",7
"Lubbock","TX","US",7
"McKinney","TX","US",7
"Morgan Hill","CA","US",7
"Murrieta","CA","US",7
"Nanaimo","BC","CA",7
"Nassau","NS","BS",7
"Naucalpan","MX","MX",7
"North Las Vegas","NV","US",7
"Okayama","33","JP",7
"Olathe","KS","US",7
"Oxnard","CA","US",7
"Palmdale","CA","US",7
"Parker","CO","US",7
"Pasay City","41","PH",7
"Penang","07","MY",7
"Petaluma","CA","US",7
"Pleasanton","CA","US",7
"Prescott","AZ","US",7
"Providence","RI","US",7
"Rancho Cordova","CA","US",7
"Rancho Santa Margarita","CA","US",7
"Red Deer","AB","CA",7
"Reston","VA","US",7
"San Bernardino","CA","US",7
"San Marcos","CA","US",7
"San Ramon","CA","US",7
"St. Paul","MN","US",7
"Towson","MD","US",7
"Tukwila","WA","US",7
"Turlock","CA","US",7
"Van Nuys","CA","US",7
"West Vancouver","BC","CA",7
"Windsor","ON","CA",7
"عمان","AM","JO",7
"佛山市","44","CN",6
"福州市","35","CN",6
"郑州市","41","CN",6
"Adana","01","TR",6
"Allentown","PA","US",6
"Antioch","CA","US",6
"Auburn","CA","US",6
"Augusta","GA","US",6
"Aurora","IL","US",6
"Bali","BA","ID",6
"Bangrak","10","TH",6
"Baton Rouge","LA","US",6
"Billings","MT","US",6
"Bloomington","IN","US",6
"Bowie","MD","US",6
"Brampton","ON","CA",6
"Bronx","NY","US",6
"Broomfield","CO","US",6
"Buena Park","CA","US",6
"Bunkyo","13","JP",6
"Carrollton","TX","US",6
"Carson City","NV","US",6
"Cebu City","07","PH",6
"Cedar Rapids","IA","US",6
"Chilliwack","BC","CA",6
"Concord","NC","US",6
"Corvallis","OR","US",6
"Cypress","TX","US",6
"Danville","CA","US",6
"Dayton","OH","US",6
"Delta","BC","CA",6
"Des Moines","IA","US",6
"Dublin","CA","US",6
"Edmond","OK","US",6
"El Segundo","CA","US",6
"Franklin","TN","US",6
"Frederick","MD","US",6
"Goodyear","AZ","US",6
"Grand Prairie","TX","US",6
"Greenville","NC","US",6
"Greenwood Village","CO","US",6
"Irving","TX","US",6
"Istanbul - Avrupa","34","TR",6
"Kingston","ON","CA",6
"Lafayette","LA","US",6
"Lakeland","FL","US",6
"Lakewood","CA","US",6
"Lakewood","WA","US",6
"Lincoln","NE","US",6
"Longview","WA","US",6
"Loveland","CO","US",6
"Macau","92","CN",6
"Machida","13","JP",6
"Manassas","VA","US",6
"Mansfield","TX","US",6
"Medford","OR","US",6
"Meguro","13","JP",6
"Menlo Park","CA","US",6
"Milton","ON","CA",6
"Moreno Valley","CA","US",6
"New Delhi","DL","IN",6
"New Territories","91","CN",6
"Newark","DE","US",6
"Norman","OK","US",6
"Northbrook","IL","US",6
"Northridge","CA","US",6
"Novato","CA","US",6
"Oita","44","JP",6
"Palm Springs","CA","US",6
"Pearland","TX","US",6
"Pembroke Pines","FL","US",6
"Peoria","IL","US",6
"Pleasant Hill","CA","US",6
"Portland","ME","US",6
"Puerto Vallarta","JAL","MX",6
"Quebec","QC","CA",6
"Queen Creek","AZ","US",6
"Redlands","CA","US",6
"Redondo Beach","CA","US",6
"Richland","WA","US",6
"Richmond Hill","ON","CA",6
"Rochester","NY","US",6
"Rocklin","CA","US",6
"Rohnert Park","CA","US",6
"Round Rock","TX","US",6
"San Clemente","CA","US",6
"San Leandro","CA","US",6
"San Pedro","CA","US",6
"San Rafael","CA","US",6
"Sharjah","SH","AE",6
"Sherwood Park","AB","CA",6
"Shreveport","LA","US",6
"South Bend","IN","US",6
"Springfield","IL","US",6
"Stamford","CT","US",6
"Subang Jaya","10","MY",6
"Taito","13","JP",6
"Taoyuan City","TAO","TW",6
"Tijuana","BCN","MX",6
"Tracy","CA","US",6
"Tustin","CA","US",6
"Vacaville","CA","US",6
"Victorville","CA","US",6
"Waterloo","ON","CA",6
"Wauwatosa","WI","US",6
"West Hollywood","CA","US",6
"Westminster","CA","US",6
"Zhongli City","TAO","TW",6
"الدوحة","DA","QA",6
"مسقط","MA","OM",6
"경상남도","48","KR",6
"哈尔滨","23","CN",5
"南通市","32","CN",5
"石家庄","13","CN",5
"中山市","44","CN",5
"珠海市","44","CN",5
"Aberdeen","SCT","GB",5
"Aiea","HI","US",5
"Airdrie","AB","CA",5
"Al Ain","AZ","AE",5
"Alameda","CA","US",5
"Ashburn","VA","US",5
"Atsugi","14","JP",5
"Bandung","JB","ID",5
"Bangkapi","10","TH",5
"Barrie","ON","CA",5
"Basel","BS","CH",5
"Beverly Hills","CA","US",5
"Bloomington","MN","US",5
"Bolingbrook","IL","US",5
"Boynton Beach","FL","US",5
"Bradenton","FL","US",5
"Bremerton","WA","US",5
"Brookline","MA","US",5
"Bucharest","B","RO",5
"Burlingame","CA","US",5
"Bursa","16","TR",5
"Cairo","C","EG",5
"Camarillo","CA","US",5
"Canton","GA","US",5
"Castle Rock","CO","US",5
"Cedar Park","TX","US",5
"Chattanooga","TN","US",5
"Cheyenne","WY","US",5
"Chiayi City","CYI","TW",5
"Chico","CA","US",5
"Chino","CA","US",5
"Chino Hills","CA","US",5
"Coeur d'Alene","ID","US",5
"College Station","TX","US",5
"Columbia","MO","US",5
"Coral Springs","FL","US",5
"Coventry","ENG","GB",5
"Culver City","CA","US",5
"Cumming","GA","US",5
"Cupertino","CA","US",5
"Daly City","CA","US",5
"East Lansing","MI","US",5
"Edina","MN","US",5
"Evansville","IN","US",5
"Fayetteville","NC","US",5
"Fountain Valley","CA","US",5
"Fujisawa","14","JP",5
"Germantown","MD","US",5
"Glen Allen","VA","US",5
"Golden","CO","US",5
"Greenwood","IN","US",5
"Gresham","OR","US",5
"Hachioji","13","JP",5
"Hamamatsu","22","JP",5
"Hawthorne","CA","US",5
"Hollywood","CA","US",5
"Huntersville","NC","US",5
"Johor Bahru","01","MY",5
"Kagawa","37","JP",5
"Kalamazoo","MI","US",5
"Kanazawa","17","JP",5
"Koshigaya","11","JP",5
"Kumamoto","43","JP",5
"La Habra","CA","US",5
"Lacey","WA","US",5
"Laguna Niguel","CA","US",5
"Lake Elsinore","CA","US",5
"Lake Forest","CA","US",5
"Lancaster","PA","US",5
"Laredo","TX","US",5
"Las Cruces","NM","US",5
"Lawrenceville","GA","US",5
"League City","TX","US",5
"Leeds","ENG","GB",5
"Leicester","ENG","GB",5
"Lethbridge","AB","CA",5
"Lewisville","TX","US",5
"Lodi","CA","US",5
"Manteca","CA","US",5
"Maple Ridge","BC","CA",5
"Marina Del Rey","CA","US",5
"Martinez","CA","US",5
"Marysville","WA","US",5
"McAllen","TX","US",5
"Mercer Island","WA","US",5
"Merida","YUC","MX",5
"Meridian","ID","US",5
"Midlothian","VA","US",5
"Muntinlupa City","41","PH",5
"Murfreesboro","TN","US",5
"Nagasaki","42","JP",5
"Nara","29","JP",5
"Newark","CA","US",5
"Newcastle","ENG","GB",5
"Newport News","VA","US",5
"Niigata","15","JP",5
"North Hollywood","CA","US",5
"Norwalk","CA","US",5
"Novi","MI","US",5
"Orland Park","IL","US",5
"Palm Beach Gardens","FL","US",5
"Park City","UT","US",5
"Paso Robles","CA","US",5
"Pathumwan","10","TH",5
"Pomona","CA","US",5
"Port Coquitlam","BC","CA",5
"Prince George","BC","CA",5
"Rapid City","SD","US",5
"Regina","SK","CA",5
"Richardson","TX","US",5
"Rockwall","TX","US",5
"Roswell","GA","US",5
"Sagamihara","14","JP",5
"San Bruno","CA","US",5
"Sherman Oaks","CA","US",5
"Shiga","25","JP",5
"Springfield","VA","US",5
"St. Catharines","ON","CA",5
"Sugar Land","TX","US",5
"Syracuse","NY","US",5
"Thunder Bay","ON","CA",5
"Toyama","16","JP",5
"Union City","CA","US",5
"Valencia","CA","US",5
"Vallejo","CA","US",5
"Vernon","BC","CA",5
"Warwick","RI","US",5
"West Des Moines","IA","US",5
"Wheat Ridge","CO","US",5
"Whittier","CA","US",5
"Woodbridge","VA","US",5
"Yamanashi","19","JP",5
"York","PA","US",5
"Yuba City","CA","US",5
"المنامة","13","BH",5
"مدينة الكويت","AH","KW",5
"광주","29","KR",5
"대전","30","KR",5
"泉州市","35","CN",4
"Acapulco","GRO","MX",4
"Aguascalientes","AGU","MX",4
"Alhambra","CA","US",4
"Ames","IA","US",4
"Amherst","NY","US",4
"Anaheim Hills","CA","US",4
"Apple Valley","CA","US",4
"Arcadia","CA","US",4
"Arequipa","ARE","PE",4
"Astoria","NY","US",4
"Athens","GA","US",4
"Aurora","ON","CA",4
"Bangkok","10","TH",4
"Banglamung","S","TH",4
"Battle Ground","WA","US",4
"Bellevue","NE","US",4
"Benicia","CA","US",4
"Berkeley","CA","US",4
"Bern","BE","CH",4
"Bismarck","ND","US",4
"Bonney Lake","WA","US",4
"Brandon","FL","US",4
"Brentwood","TN","US",4
"Brighton","CO","US",4
"Brookfield","WI","US",4
"Brunswick","GA","US",4
"Burke","VA","US",4
"Burlington","NC","US",4
"Burlington","WA","US",4
"Casablanca","MA","MA",4
"Castro Valley","CA","US",4
"Causeway Bay","91","CN",4
"Centennial","CO","US",4
"Chatsworth","CA","US",4
"Cheongju","43","KR",4
"Chihuahua","CHH","MX",4
"Citrus Heights","CA","US",4
"Clackamas","OR","US",4
"Claremont","CA","US",4
"Conway","AR","US",4
"Coral Gables","FL","US",4
"Corpus Christi","TX","US",4
"Cuernavaca","MOR","MX",4
"Dana Point","CA","US",4
"Destin","FL","US",4
"DUESSELDORF","NW","DE",4
"Edmonds","WA","US",4
"El Centro","CA","US",4
"El Dorado Hills","CA","US",4
"El Monte","CA","US",4
"Ellensburg","WA","US",4
"Ellicott City","MD","US",4
"Emeryville","CA","US",4
"Erie","PA","US",4
"Eureka","CA","US",4
"Fair Oaks","CA","US",4
"Fairbanks","AK","US",4
"Fairfield","CT","US",4
"Fishers","IN","US",4
"Forest Hills","NY","US",4
"Fort Lee","NJ","US",4
"Funabashi","12","JP",4
"Galveston","TX","US",4
"Garden City","NY","US",4
"Geneve","GE","CH",4
"Georgetown","TX","US",4
"Gig Harbor","WA","US",4
"Gilroy","CA","US",4
"Glen Burnie","MD","US",4
"Glendora","CA","US",4
"Glenview","IL","US",4
"Glenwood Springs","CO","US",4
"Gloucestershire","ENG","GB",4
"Goyang","41","KR",4
"Granada Hills","CA","US",4
"Grapevine","TX","US",4
"Grove City","OH","US",4
"Gurnee","IL","US",4
"Gyeongsangbuk-do","47","KR",4
"Hamburg","HH","DE",4
"Hamilton","ON","CA",4
"Hampshire","ENG","GB",4
"Hanover","MD","US",4
"Harlingen","TX","US",4
"Harrisburg","PA","US",4
"Harrisonburg","VA","US",4
"Hebron","KY","US",4
"Hemet","CA","US",4
"Hesperia","CA","US",4
"Hilo","HI","US",4
"Hokkaido","01","JP",4
"Hollywood","FL","US",4
"Huaykwang","10","TH",4
"Huixquilucan","MX","MX",4
"Huntsville","TX","US",4
"Indio","CA","US",4
"Inglewood","CA","US",4
"Jakarta Utara","JK","ID",4
"Jamaica","NY","US",4
"Jersey City","NJ","US",4
"Joplin","MO","US",4
"Kanata","ON","CA",4
"Keizer","OR","US",4
"Kennewick","WA","US",4
"King of Prussia","PA","US",4
"Kissimmee","FL","US",4
"Kitchener","ON","CA",4
"Klongtoey","10","TH",4
"Kuching","13","MY",4
"La Quinta","CA","US",4
"Lafayette","IN","US",4
"Lancaster","CA","US",4
"Leesburg","VA","US",4
"Lincoln","CA","US",4
"Liverpool","ENG","GB",4
"Lombard","IL","US",4
"Los Cabos","BCS","MX",4
"Los Gatos","CA","US",4
"Malibu","CA","US",4
"Manila","00","PH",4
"Maple Valley","WA","US",4
"Marana","AZ","US",4
"Marlborough","MA","US",4
"Matthews","NC","US",4
"Melaka","04","MY",4
"Melbourne","FL","US",4
"Merced","CA","US",4
"Mexicali","BCN","MX",4
"Mill Creek","WA","US",4
"Mill Valley","CA","US",4
"Milwaukie","OR","US",4
"Mishawaka","IN","US",4
"Missoula","MT","US",4
"Miyazaki","45","JP",4
"Monroe","WA","US",4
"Montgomery","AL","US",4
"Mooresville","NC","US",4
"Mount Laurel","NJ","US",4
"Mount Pleasant","SC","US",4
"Muang","50","TH",4
"Musashino","13","JP",4
"Narita","12","JP",4
"Newark","NJ","US",4
"Newnan","GA","US",4
"Niles","IL","US",4
"Nottingham","ENG","GB",4
"Oak Brook","IL","US",4
"Oak Lawn","IL","US",4
"Ocala","FL","US",4
"Olney","MD","US",4
"Oregon City","OR","US",4
"Ota","13","JP",4
"Pacifica","CA","US",4
"Paramus","NJ","US",4
"Pasadena","TX","US",4
"Peachtree City","GA","US",4
"Penticton","BC","CA",4
"Pittsburg","CA","US",4
"Playa del Carmen","ROO","MX",4
"Port Orchard","WA","US",4
"Porterville","CA","US",4
"Poway","CA","US",4
"Poznań","WP","PL",4
"Pueblo","CO","US",4
"Reynoldsburg","OH","US",4
"Roanoke","VA","US",4
"Rochester","MN","US",4
"Rogers","AR","US",4
"Rowlett","TX","US",4
"Saga","41","JP",4
"San Dimas","CA","US",4
"San Luis Potosi","SLP","MX",4
"San Marcos","TX","US",4
"Sandy","UT","US",4
"Santa Maria","CA","US",4
"Santee","CA","US",4
"Santiago de Queretaro","QUE","MX",4
"Saratoga","CA","US",4
"Schiphol","NH","NL",4
"Sevilla","AN","ES",4
"Sheffield","ENG","GB",4
"Smyrna","GA","US",4
"Snohomish","WA","US",4
"Somerville","MA","US",4
"Southfield","MI","US",4
"Springfield","OR","US",4
"St. Albert","AB","CA",4
"St. Gallen","SG","CH",4
"Stafford","VA","US",4
"Stony Brook","NY","US",4
"Stuart","FL","US",4
"Studio City","CA","US",4
"Suita","27","JP",4
"Sumida","13","JP",4
"Sunrise","FL","US",4
"Suwanee","GA","US",4
"Suwon","41","KR",4
"Swindon","ENG","GB",4
"Takasaki","10","JP",4
"Toledo","OH","US",4
"Toluca","MX","MX",4
"Tualatin","OR","US",4
"Tumwater","WA","US",4
"Upland","CA","US",4
"Valencia","AN","ES",4
"Vernon Hills","IL","US",4
"Vienna","VA","US",4
"Waldorf","MD","US",4
"Walla Walla","WA","US",4
"Warrenton","VA","US",4
"Wasilla","AK","US",4
"Wayne","NJ","US",4
"Wellington","FL","US",4
"West Chester","PA","US",4
"West Covina","CA","US",4
"West Linn","OR","US",4
"West Sacramento","CA","US",4
"Westerville","OH","US",4
"Wheaton","IL","US",4
"Whistler","BC","CA",4
"Whitby","ON","CA",4
"Wilmette","IL","US",4
"Wilmington","DE","US",4
"Wilmington","NC","US",4
"Wilsonville","OR","US",4
"Woodstock","GA","US",4
"Wrocław","DS","PL",4
"Yokkaichi","24","JP",4
"Yongin","41","KR",4
"Yorkshire","ENG","GB",4
"대구","27","KR",4
"","JS","EG",3
"常熟市","32","CN",3
"惠州市","44","CN",3
"江阴市","32","CN",3
"南昌市","36","CN",3
"绍兴市","33","CN",3
"太原市","14","CN",3
"泰州市","32","CN",3
"长春市","22","CN",3
"Akita","05","JP",3
"Alabaster","AL","US",3
"Albany","OR","US",3
"Algonquin","IL","US",3
"Aliso Viejo","CA","US",3
"Altamonte Springs","FL","US",3
"Amarillo","TX","US",3
"Amherst","OH","US",3
"Amman","AM","JO",3
"Ankeny","IA","US",3
"Anyang","41","KR",3
"Apex","NC","US",3
"Appleton","WI","US",3
"Arlington","WA","US",3
"Arlington Heights","IL","US",3
"Atwater","CA","US",3
"Aventura","FL","US",3
"Avon","CO","US",3
"Avondale","AZ","US",3
"Azusa","CA","US",3
"Baguio City","PH","PH",3
"Baldwin Park","CA","US",3
"Banff","AB","CA",3
"Bangpakong","24","TH",3
"Barboursville","WV","US",3
"Barstow","CA","US",3
"Baytown","TX","US",3
"Beaumont","TX","US",3
"Beavercreek","OH","US",3
"Beirut","BA","LB",3
"Bekasi","JB","ID",3
"Bel Air","MD","US",3
