City,Country,Art_exhibitions_visits,Cinema_Screens,Cinemas,Creative_Industries_Employment,Educated,Foreign_born,GDP,Area,Concert_Halls,Median Weekly Earnings,Number_of_bars,Number_of_comedy,Number_of_tourists,Number_of_restaurants,Public_libraries,Working_age,Museums,Length.per.resident..mm.,Usage,Annual.ridership,Country.Subdivision,Starbucks,iso_region,total_runways,Brookings_GDP,service.firms,country.etc,pop,lat,long,capital,Population,Cluster
Amsterdam,Netherlands,5864,113,38,0.092,0.42,0.34,43491,2580,5,836,1516,5,10500000,1337,80,1056000,6,31.7,0.11,85,NH,9,NL-NH,6,320.6,180,Netherlands,744159,52.37,4.89,1,1068724,2
Bangkok,Thailand,NA,330,NA,NA,0.221,0.05,98340,1569,4,93.71,NA,1,15980000,101660,19,NA,21,12.9,0.05,245,10,108,TH-10,4,306.8,142,Thailand,4935988,13.73,100.5,1,8305218,1
Beijing,China,NA,820,150,0.2177,0.195,0,NA,1368,2,205.62,1684,0,3576000,30000,25,NA,78,49.9,0.3,2460,11,104,CN-11,4,506.1,142,China,7602069,39.93,116.4,1,11509595,1
Berlin,Germany,1653,266,94,0.1,0.39,0.13,80000,892,2,NA,1247,15,2871000,4885,88,2297921,18,43.2,0.2,505,BE,1,DE-BR,4,157.7,106,Germany,3378275,52.52,13.38,1,3501872,2
Bogota,Colombia,NA,243,46,NA,0.205,0,82175,345,3,170.23,NA,0,966748,6158,89,4676920,NA,0,0,0,NA,0,CO-CUN,2,159.9,96,Colombia,7235084,4.63,-74.09,1,6778691,3
Boston,USA,NA,52,19,0.055,0.485,0.251,NA,232,NA,974.69,675,6,1400000,6169,27,NA,10,13.5,0.05,147,MA,45,US-MA,6,360.1,114,USA,567759,42.34,-71.02,0,667137,4
Brussels,Belgium,NA,65,11,0.0647,NA,0.46,83414,161,4,NA,1743,NA,2602094,4235,118,NA,8,18.5,0.11,133,VLG,1,BE-BRU,4,254.3,187,Belgium,1031925,50.83,4.33,1,1561395,2
Copenhagen,Denmark,NA,54,15,NA,0.2827,0.18,NA,86,NA,895.98,NA,4,6160000,NA,20,NA,NA,19.4,0.07,54,84,1,DK-84,3,127,112,Denmark,1091978,55.68,12.57,1,583525,2
Dublin,Ireland,NA,51,8,NA,NA,0.2,NA,115,NA,894,NA,2,4100000,NA,26,NA,10,0,0,0,L,22,IE-D,3,90.1,119,Ireland,1030431,53.33,-6.25,1,1110627,2
Edinburgh,United Kingdom,926,62,9,0.042,0.563,0.14,26612,263,1,626.56,451,2,1300000,138,298,325791,2,0,0,0,SCT,14,GB-SCT,3,32.5,39,UK,438501,55.95,-3.22,0,448624,4
Hong Kong,Hong Kong S.A.R.,3061,209,47,0.056,0.29,0.09,381186,1104,4,538,1200,2,27770000,12564,69,4964600,17,24.7,0.27,1444,91,58,HK-U-A,2,416,253,China,1321432,22.27,114.14,0,7305700,1
Istanbul,Turkey,2179,704,99,0.016,0.17,0.031,394000,5461,NA,144,304,1,11842983,1122,62,10243634,22,8.9,0.01,78,34,81,TR-34,4,348.7,110,Turkey,10034830,41.1,29,0,14025646,3
Johannesburg,South Africa,NA,368,47,0.045,0.32,0.06,175956,18178,4,184,NA,1,3988335,15000,234,6833217,9,0,0,0,NA,0,ZA-GT,2,82.9,124,South Africa,2091491,-26.19,28.04,0,11328203,3
Kuala Lumpur,Malaysia,NA,196,24,NA,0.4013,0.09,NA,243,5,NA,NA,2,11200000,10733,NA,NA,17,69,0.1,109,14,36,MY-14,3,171.8,126,Malaysia,1482359,3.16,101.71,1,1588750,1
