File Name,EUI,Floor Area,Common Area,Hours,Days,Calc Hours,Input Hours,Office,Shopping,BOH,Restaurant,Car Park,Others,Occupation Date,Audit Year,Number of Floors,Facade,Occupation Density,# Chillers,Chiller Capacity,Chiller COP,#AC Units,AC Capacity,LPD,Total Lighting Power (kW), Electricty Consumption last year ,Electricty Consumption 2 years ago,Electricy Consumption 3 years ago,Non-E 1,Non-E 2,Non-E 3,EUI 2 years ago,EUI 3 years ago,AC Last year,Lighting Last year,Lift Last year,Others Last year,Total,Central BS to Units,CWP,"Condenser Water Pumps
(W/l/s)",Heat Rejection Fan Performance,AC Fan Performance,Central Mechanical Fan Performance (W per L/s),Rated Lift Power (kW),Pumps (kW),Setpoint,Centralized,Central air-conditioning ,Cooling (for heat rejection),AHU,FCU,Unitary AC,Batch,Data Centre,Owner/Tenant,
0030_201307051409.pdf,83.43,4575.92,929.83,17.29,7.0,121.00,98.0,0.85,0.00,0.15,0.00,0.00,,1995,2012,27,Non-curtain wall,,,,2.83,1.00,8.50,9.03,8.39,106048.00,118950.00,117321.00,,,,93.58,92.30,8644.32,224359.77,104857.20,43911.51,381772.80,0.11,,,,,109.09,14.00,38.80,0.00,0.00,N/A,A,0,0,,1,0,,
0032_201306281422.pdf,161.23,2200.00,836.00,17.00,7.0,119.00,119.0,0.81,0.00,0.19,0.00,0.00,,1905,2012,26,Curtain wall,,,,0.00,1,5,7.19,6.05,98531.00,98781.00,97971.00,,,,161.64,160.32,67014.00,153568.00,57332.00,76798.00,354712.00,0.00,,,,,,13.00,,0.00,0.00,N/A,A,,,,1,0,,
0034_201306281540.pdf,448.85,15160.00,5715.32,7.86,7.0,55.00,55.00,0.82,0.00,0.18,0.00,0.00,,2001,2012,10,Non-curtain wall,9.00,3,7389.00,2.76,,,7.64,43.67,1890170.00,1740396.00,1740847.00,,,,413.29,413.39,5057665.20,863274.24,188388.00,695288.16,6804615.60,0.62,60.00,,,102.20,14.60,22.00,30.50,25.50,1.00,0.00,A,1,1,0,1,0,,
FormEE-EAes_0047.pdf,276.48,78847.20,33470.64,10.29,7.0,72.00,72.00,0.59,0.00,0.09,0.00,0.20,0.12,1994,2012,28,Curtain wall,31.00,8,9384.00,2.82,16,136.95,4.23,141.60,6054929.77,6530500.94,7546636.75,1748.00,1748.00,1748.00,298.19,344.59,3619780.75,765326.08,1062000.00,607822.93,6054929.76,0.45,339.72,,24.38,0.88,4.49,776.00,185.20,24.00,1.00,1.00,A,0,1,0,2,0,Owner,
FormEE-EAes_0049.pdf,566.45,82800.00,22579.56,10.00,7.0,70.00,70.00,0.86,0.03,0.11,0.00,0.00,,1998,2012,42,Curtain wall,27600.00,6,13536.00,5.55,0,0.00,10.14,228.90,13028262.00,13134178.00,15952468.00,0.00,0.00,0.00,571.05,693.59,30343471.00,5310208.00,3752139.00,7495925.00,46901743.00,0.76,669.37,314.32,12.08,3.37,1.16,956.20,128.30,24.00,1.00,0.50,FW,1,0,0,2,0,Tenant,
FormEE-EAes_0113.pdf,136.63,22049.10,4502.43,11.00,5,55.00,55.00,0.92,0.00,0.08,0.00,0.00,,1999,2012,26,Curtain wall,18,1,336.30,2.84,2,7.78,7.68,34.58,836345.00,833908.00,808574.00,1824.00,1824.00,1824.00,136.24,132.10,1329807.96,785960.64,581969.52,313103.88,3010842.00,0.15,785.71,,15.46,1.20,0.27,189.00,42.00,24.5,1.00,1.00,A,0,1,0,2,0,,
FormEE-EAes_0123.pdf,371.10,29025.82,14272.00,9.14,7,64.00,64.00,0.68,0.00,0.15,0.00,0.17,,2010,2012,23,Curtain wall,,4,939.00,3.28,15,14.13,6.41,91.50,2979675.00,2761663.00,2838066.00,44538.12,44538.12,44538.12,344.06,353.53,7713994.66,1705513.05,633545.28,718315.13,10771368.12,0.49,737.10,,,0.72,0.90,122.00,65.40,0,1.00,0.50,A,0,1,0,2,0,,
FormEE-EAes_0126.pdf,567.00,13430.00,6257.04,10.42,6,62.50,62.50,0.58,0.00,0.24,0.19,0.00,,1978,2012,27,Curtain wall,,0,0.00,0.00,81,2031.91,6.29,39.36,2114550.00,1963720.00,2125820.00,0.00,0.00,0.00,526.00,570.00,5252542.00,761238.00,1294105.00,304495.00,7612380.00,0.48,,755.49,20.86,0.56,0.89,161.00,111.00,0,1.00,2.00,FW,0,0,1,2,0,,
FormEE-EAes_0134.pdf,1464.79,2349.54,0.00,21.97,7,153.80,64,0.43,0.00,0.57,0.00,0.00,,1992,2012,2,Non-curtain wall,138,1,74.50,2.75,9,257.98,14.15,33.24,955997.75,924386.95,976737.59,0.00,0.00,0.00,1416.36,1496.57,2437669.43,557984.10,,445938.38,3441591.91,0.00,833.33,,,0.50,0.45,,5.35,24,1.00,1.00,A,1,1,1,5,1,Yes,
FormEE-EAes_0138.pdf,383.82,27750.37,9202.02,12.01,7,84.10,77,0.73,0.00,0.20,0.00,0.08,,1999,2012,34,Curtain wall,,3,3429.00,2.55,7,20.88,4.33,39.81,2956721.00,3007935.00,3097211.00,6840.00,6840.00,6840.00,390.46,402.04,8122699.98,757540.98,1223985.60,546809.04,10651035.60,0.61,189.87,,22.56,0.83,1.68,234.00,43.60,25.5,1.00,1.00,A,0,1,1,5,0,,
